sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
moss_0.001_4x_HiSeq2500L150R.hist	57954076	14485025	2418917	1027106	557881	343249	224522	124057	187390	214373	130284	64252	34298	56631	70263	70894	40867	17027	9211	22672	42825	62028	26877	7863	4724	15115	3412	1097	50083	29512	8743	2596	1037	118	36	1	0	38806	12758	707	234	95	49	17	1	0	0	0	0	44747	110245421
moss_0.0_4x_novaseq_profR.hist	52212074	7751246	1671390	696109	356433	221870	239882	214283	162061	82650	77300	87348	64414	35607	36301	52529	30280	27766	48608	26463	17164	5491	26081	44397	2610	3499	8328	22207	15455	7726	2288	678	4048	12145	19578	1222	350	190	37	1	13630	9301	4936	1850	307	101	44	13	3	21898	102238197
moss_0.0_1x_20.hist	52569005	9224034	1659583	713010	400447	251288	440111	216232	85140	43420	34292	38749	53872	88950	110363	73439	42334	17638	2805	3695	6979	11425	54268	62518	3676	2041	459	147	48	23	3975	7950	66931	7720	2455	152	42	22	3	0	0	0	0	0	0	0	0	0	0	53173	99416209
moss_0.001_4x_23.hist	53818013	8716986	1731663	731847	392029	239018	209366	187023	194373	99129	58870	66522	92485	53452	27659	24332	38595	51522	39086	21279	13801	4824	22915	44556	13452	7472	1686	542	30409	15203	4503	1337	533	60	27019	3607	1036	564	111	5	16719	6851	3635	1362	226	74	32	9	2	22873	101873048
moss_0.01_2x_25.hist	65298321	7359551	1315795	557228	300305	183835	122371	70157	105972	121231	88020	43408	17608	29072	36070	52195	46822	19508	3102	6152	11620	19023	33487	9798	575	318	70	21	26192	13209	3912	1161	463	52	15	0	0	24948	4988	276	91	36	18	5	0	0	0	0	0	23398	105029950
moss_0.0_8x_23.hist	53423043	6982926	1596995	643661	328344	207213	252955	128165	193595	98732	70948	80170	62820	34726	37868	54796	31587	21576	45422	26205	16996	9864	46856	14559	1759	5628	13395	24794	8263	4130	1896	3791	25489	2939	934	57	15	18565	3712	205	67	26	9650	8408	1400	465	207	68	21	16935	96772463
moss_0.0_4x_25.hist	51967490	8081318	1659346	701570	376296	229622	203201	181516	202255	103149	59120	66805	91388	50518	26140	26414	41898	55932	34957	19031	12343	14729	48060	14062	1316	4210	10020	26720	16355	8176	2421	718	3947	11842	21556	1346	386	209	40	1	13159	8583	4555	1707	283	93	40	12	3	23373	101789894
moss_0.01_2x_MiSeqv3L250R.hist	65348425	7948899	1350661	574431	313461	193426	161030	79115	63737	72914	85051	96107	61813	34169	17680	10045	15933	21269	44777	34164	22159	6923	2999	876	1872	5990	14256	19427	6474	3236	957	283	112	11	1049	24409	7016	3826	764	41	12	4	1	0	0	0	0	0	0	27188	99733894
moss_0.01_8x_MiSeqv3L250R.hist	66323286	5658242	1256852	503873	252855	159607	192571	94612	114874	81545	44640	50442	62806	34718	26403	38206	24285	11959	25176	18812	12201	4853	23052	6744	1921	6146	14627	6378	2125	1061	11685	5659	2262	260	81	12250	3939	2148	428	22	6	5190	6115	2292	381	126	55	17	4	11184	92728871
moss_0.0_4x_MiSeqv3L250R.hist	51614176	10423868	1905416	810518	442529	273174	199344	114115	172372	196902	95334	47015	37160	61356	76126	37011	21335	25570	53830	29306	19008	5939	17753	34520	34587	19214	4337	1395	2123	29727	8807	2615	4749	14246	11494	717	205	110	6459	18003	6000	2458	1303	487	80	25	10	2	0	30987	96461127
moss_0.001_1x_MiSeqv3L250R.hist	55197072	9882405	1890208	799862	430103	262902	155037	97519	147303	168514	196566	96941	37217	20572	10644	12458	19760	26378	55533	90505	58705	18344	7948	2324	135	74	15	4	0	0	30656	61312	24926	2874	913	56	15	7	0	0	0	0	0	0	0	0	0	0	0	56352	103983888
moss_0.01_4x_novaseq_profR.hist	65805733	5966800	1260010	519696	257806	161642	181067	161744	84559	52855	61653	69667	52587	29069	20737	30007	47597	19831	4631	11399	21531	22271	9649	2822	2139	6844	16288	11284	3760	1879	555	164	5602	14529	4621	287	81	43	7	2845	9208	3773	2001	749	123	40	17	4	0	15249	102114746
moss_0.01_4x_23.hist	66182586	6443376	1304967	543122	277491	170570	155950	139307	134033	68355	38943	44005	61179	60594	31355	11559	18334	24475	36684	19971	12953	4046	4847	9424	20137	12076	2725	876	941	13182	7798	2316	925	105	10099	8440	2425	1322	263	13	3	8345	4428	1659	275	90	39	12	3	13584	101058489
moss_0.0_8x_20.hist	53920812	8299296	1775140	734587	368410	231657	312839	153702	131040	149909	76983	58189	80900	44721	31255	45227	57766	24068	11764	28956	51644	16137	7583	14743	31504	17501	3950	1271	8473	27858	8253	2451	979	112	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65053045
moss_0.001_2x_25.hist	51657868	11572800	1938987	829605	460577	287162	251373	123502	103547	118457	138175	136913	52563	29056	16680	24136	38284	51107	67844	36936	23957	7485	6297	12244	26163	14534	8276	22068	26624	13311	3943	1170	467	52	15	0	33475	18258	3650	201	66	26	12	3	0	0	0	0	0	40428	112284197
moss_0.0_1x_novaseq_profR.hist	53506306	7382598	1710286	642147	368327	233699	313040	279634	183886	93781	45405	24266	33736	55703	69113	82151	47357	19731	3441	8469	15997	26189	84218	24642	1448	803	180	57	18	8	1	0	61372	21172	6735	419	119	64	11	0	0	0	0	0	0	0	0	0	0	51780	101068804
moss_0.01_1x_HiSeq2500L150R.hist	70775677	7375298	1655007	608540	348350	220793	245275	219100	148549	75759	36679	18088	14245	23520	29182	42227	66980	89415	14224	7743	5021	1568	678	197	10	4	0	0	11132	54929	16274	4834	1932	221	69	3	0	0	0	0	0	0	0	0	0	0	0	0	0	42032	105311512
moss_0.0_8x_HiSeq2500L150R.hist	55852454	22655237	4394745	1667612	938890	589970	506757	248976	192604	220338	214611	105840	49397	81561	101196	81994	47266	19693	25436	62611	54773	17115	7415	14044	30010	67387	15215	4898	1631	814	24043	48085	27938	3221	1024	63	17	8	57471	3191	1062	434	229	85	13	25008	11634	3877	1291	773	101000908
moss_0.01_4x_HiSeq2500L150R.hist	69019400	10174464	1685640	710417	377385	228757	140113	125161	189056	100922	48863	32215	44788	73951	48383	15393	24416	32594	30734	16732	10852	3390	14101	27418	14995	8330	1879	604	292	4090	24517	7284	2912	335	105	5	0	0	27539	1528	508	207	109	39	5	0	0	0	0	22437	105702796
