sample	club-moss_0.001_1x_20	club-moss_0.001_1x_23	club-moss_0.001_1x_25	club-moss_0.001_1x_HiSeq2500L150R	club-moss_0.001_1x_MiSeqv3L250R	club-moss_0.001_1x_novaseq_profR	club-moss_0.001_2x_20	club-moss_0.001_2x_23	club-moss_0.001_2x_25	club-moss_0.001_2x_HiSeq2500L150R	club-moss_0.001_2x_MiSeqv3L250R	club-moss_0.001_2x_novaseq_profR	club-moss_0.001_4x_20	club-moss_0.001_4x_23	club-moss_0.001_4x_25	club-moss_0.001_4x_HiSeq2500L150R	club-moss_0.001_4x_MiSeqv3L250R	club-moss_0.001_4x_novaseq_profR	club-moss_0.001_8x_20	club-moss_0.001_8x_23	club-moss_0.001_8x_25	club-moss_0.001_8x_HiSeq2500L150R	club-moss_0.001_8x_MiSeqv3L250R	club-moss_0.001_8x_novaseq_profR	club-moss_0.01_1x_20	club-moss_0.01_1x_23	club-moss_0.01_1x_25	club-moss_0.01_1x_HiSeq2500L150R	club-moss_0.01_1x_MiSeqv3L250R	club-moss_0.01_1x_novaseq_profR	club-moss_0.01_2x_20	club-moss_0.01_2x_23	club-moss_0.01_2x_25	club-moss_0.01_2x_HiSeq2500L150R	club-moss_0.01_2x_MiSeqv3L250R	club-moss_0.01_2x_novaseq_profR	club-moss_0.01_4x_20	club-moss_0.01_4x_23	club-moss_0.01_4x_25	club-moss_0.01_4x_HiSeq2500L150R	club-moss_0.01_4x_MiSeqv3L250R	club-moss_0.01_4x_novaseq_profR	club-moss_0.01_8x_20	club-moss_0.01_8x_23	club-moss_0.01_8x_25	club-moss_0.01_8x_HiSeq2500L150R	club-moss_0.01_8x_MiSeqv3L250R	club-moss_0.01_8x_novaseq_profR	club-moss_0.0_1x_20	club-moss_0.0_1x_23	club-moss_0.0_1x_25	club-moss_0.0_1x_HiSeq2500L150R	club-moss_0.0_1x_MiSeqv3L250R	club-moss_0.0_1x_novaseq_profR	club-moss_0.0_2x_20	club-moss_0.0_2x_23	club-moss_0.0_2x_25	club-moss_0.0_2x_HiSeq2500L150R	club-moss_0.0_2x_MiSeqv3L250R	club-moss_0.0_2x_novaseq_profR	club-moss_0.0_4x_20	club-moss_0.0_4x_23	club-moss_0.0_4x_25	club-moss_0.0_4x_HiSeq2500L150R	club-moss_0.0_4x_MiSeqv3L250R	club-moss_0.0_4x_novaseq_profR	club-moss_0.0_8x_20	club-moss_0.0_8x_23	club-moss_0.0_8x_25	club-moss_0.0_8x_HiSeq2500L150R	club-moss_0.0_8x_MiSeqv3L250R	club-moss_0.0_8x_novaseq_profR
club-moss_0.001_1x_20	0.0	0.0	0.0	0.0015236959018088403	0.0007254675008971584	0.0	0.0	0.0	0.0	0.001162273565077369	0.0009569010756170836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010630244577534767	0.0010041939685378459	0.0	0.010386376041282529	0.010584822839382292	0.010430634371640596	0.010765603370774767	0.010849537839443925	0.010633404823956851	0.01085925989003466	0.010678287489003005	0.010804285686896583	0.010751187012827793	0.01102462098534812	0.010937939196308881	0.010531642495637913	0.010856333977581022	0.0110534463556484	0.010539526141820972	0.010917403274384513	0.011085262824034475	0.011255642211705675	0.011001421561923151	0.011717479369522537	0.011428990711456513	0.011973031234379119	0.01160617156393592	0.001741505784666391	0.0014499548595519887	0.0015564996171720223	0.002373570872213022	0.002083324360105753	0.0016103055933527706	0.0020035277815921592	0.0018721916886138533	0.0017660902876689732	0.0022565607036434615	0.0023019170577358687	0.0016671602834170379	0.002005860361216877	0.0019350088667185622	0.002009299491951089	0.001599750359324381	0.0026697141874431163	0.0021415442762848257	0.0019897512831430516	0.0015092753129498455	0.0019773553273604717	0.0022372281049436913	0.0029206115185787733	0.0019663944664506665
club-moss_0.001_1x_23	0.0	0.0	0.0	0.0009886723997773903	0.000643093422155545	0.0	0.0	0.0	0.0	0.0007095867207422196	0.0005786878951791872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010569437002198555	0.010406036131966633	0.010432001167427749	0.010458509554058816	0.01035358317609306	0.010231730033700434	0.010840615943850267	0.010568152529806038	0.010670257144977475	0.010711394117045699	0.010478202262043719	0.01071579690914101	0.01084601607690806	0.010847547402271366	0.010885930380139075	0.01068900485055661	0.010832751196892879	0.011037489270641484	0.011131554857383272	0.011036320021330526	0.011390117556908348	0.011217855018647024	0.011604015727343785	0.01138780251363484	0.0017748244249409441	0.0014329453438367433	0.0015026825834253588	0.002018744840715827	0.001782367183350228	0.0015807963498656646	0.0016907631244539552	0.001620567072536498	0.0016727033089668844	0.002103131830244136	0.0016380360972916236	0.0016936725937160013	0.0017569433982641508	0.0017509534956665468	0.0017427719684747348	0.001702183447281059	0.002026535771864224	0.0018927565704679782	0.0016270160360904663	0.001494778915363295	0.0017667671788428132	0.0014359507411068919	0.0020982500253953285	0.0018587955285437028
club-moss_0.001_1x_25	0.0	0.0	0.0	0.0006147331347158939	0.0	0.0	0.0	0.0	0.0	0.0006623275698375388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010077787211824082	0.010056902251577394	0.00985536009131119	0.010161665516173517	0.009905698083157239	0.00981376218127316	0.01027140488781454	0.010252863950834025	0.010182817101223025	0.010331308547717091	0.010053979199146898	0.010148705313648114	0.010450760500221151	0.010316595357175433	0.010433707021904211	0.01005389683737646	0.01025516898743748	0.010576996756414596	0.010806754343051238	0.010735764324354542	0.010941749991992041	0.011032199124426632	0.011168446398800642	0.010904584391031405	0.001151910760944527	0.0011493625467889383	0.0010183847414683242	0.0017170877469115874	0.0013451772531773228	0.0011907395023617155	0.001497302600427058	0.0012290907273306447	0.0011976810861390366	0.001778828897402799	0.0014771662865467575	0.0011417020977019302	0.0015311715132597398	0.0013488472616875447	0.0014233352556111895	0.0013559936352172401	0.0018628047888952044	0.0014822443339210442	0.0014442908221076712	0.0013370507395219413	0.0014816534296617089	0.0014738318876823732	0.0019427093898962665	0.0014765196322190722
club-moss_0.001_1x_HiSeq2500L150R	0.0016758973494815019	0.001246480256939745	0.000844930790444597	0.0	0.0015561057254742264	0.0009545612560926183	0.0013014550151769313	0.001146338004182235	0.0009664302460349706	0.0	0.0020886076322568403	0.0011267494459770227	0.000812442910903519	0.0010743739762768343	0.0011088779795244074	0.0	0.001534186649743432	0.0011316470265185638	0.001384857843285304	0.0009883424324229645	0.001351098107946066	0.0	0.002282640067248289	0.001273450309049202	0.011546138672036172	0.011447823780320814	0.011675763549946323	0.011798161565593605	0.011649504104110602	0.011463663219445355	0.012061262501429198	0.011767343086745543	0.011826195948513276	0.01197375919111264	0.0121699276743268	0.011995419930323131	0.011909995063389335	0.01197989742970035	0.012207708031962732	0.011684055365911192	0.012319363646676408	0.012288132047422615	0.012432844485966342	0.012210699861862346	0.012646781544042812	0.012555045564332392	0.01360967783372635	0.012870326425380494	0.002498138115825726	0.002235891522906221	0.0023622342766537368	0.0031882198145160084	0.0032192165046364025	0.002568547532488838	0.0029524026761216333	0.0030108379899925594	0.002845720773443154	0.0033283578971201847	0.0032990809005282763	0.002914094120946708	0.0027228160190860074	0.002986977405754036	0.0029973025492738975	0.002755522395256028	0.003459791161251989	0.0032238954027093733	0.0028793770932863377	0.0023745354881363713	0.003067380831278542	0.002774434581860269	0.004186637670714835	0.003244092045623178
club-moss_0.001_1x_MiSeqv3L250R	0.0007410685069372086	0.0007478710322130497	0.0	0.0014443082330657655	0.0	0.0	0.0010648832248438135	0.0	0.0	0.001551900151760374	0.0	0.0	0.0	0.0	0.0	0.0011677143772125778	0.0	0.0	0.0012280759368840863	0.0007218506569932216	0.0006356695141214034	0.0017564305094224478	0.0	0.0	0.011286681767360349	0.011158628149483664	0.01108477776002033	0.011981949906694949	0.011029178086473112	0.011310791061415205	0.01179754895357601	0.011457447498125554	0.011551870393542885	0.011991570583429667	0.01156735890014012	0.011453378933130628	0.011592555550785722	0.01173982769107197	0.011750937845158932	0.0115656202659282	0.011592270279551063	0.011846712330162334	0.012392584141423685	0.012036139472796713	0.012381358667765104	0.012643331905614353	0.013042820557434444	0.012493811030146141	0.002243125479917447	0.0015108297575309128	0.0015306877223816174	0.0027575196409473303	0.0024883322103554924	0.0016579262665109803	0.0025442132925547	0.002197162144668939	0.0018713957389584108	0.002815506666628848	0.002394860618022417	0.001893572563152551	0.00245797177052621	0.00234043761520018	0.0022383945566303385	0.002521344191957212	0.002644486886410524	0.002245378929791883	0.0028162264471459893	0.002178476396498434	0.002582352620911616	0.0029600670253142206	0.0035653284578867433	0.0025026299830127143
club-moss_0.001_1x_novaseq_profR	0.0	0.0	0.0	0.0006706023842990644	0.0	0.0	0.0	0.0	0.0	0.0007255538160929616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010112847144149036	0.01021916795373815	0.010279382368247365	0.010355810400654763	0.010350159669159578	0.01004368594725133	0.010505844630571165	0.010361118829113383	0.010448048237873412	0.01052284269554803	0.010271535805963957	0.010607240620341475	0.010662845387315233	0.010594661314446504	0.010637771582207498	0.010639487103403785	0.010467245207766129	0.010807479752021563	0.011009957139781368	0.010877713091225523	0.011130636750536622	0.0111383525682351	0.011394926803894314	0.011202936915095645	0.001499573670105115	0.0009215258562762492	0.0011269608692908383	0.0018672171517321394	0.0016108723634874619	0.0013124420925674056	0.0016542407905767375	0.0015790540595631796	0.0015358531259270542	0.0020449836279891847	0.001512357115731587	0.001425696892336464	0.0016982138690736109	0.0014629457754108163	0.0015500828269797973	0.0015776671572314428	0.001830884112549508	0.00173270150597445	0.0016226904850251997	0.001394694636653194	0.0015593361075244554	0.0013554273967910132	0.0018256094451310548	0.0016052503418614783
club-moss_0.001_2x_20	0.0	0.0	0.0	0.0010804644954004658	0.0009459608173473802	0.0	0.0	0.0	0.0	0.0008872215624379277	0.0010395253880614251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006002592068177668	0.0	0.010976721146741973	0.010992565181819621	0.010813829295904475	0.010850616272274856	0.01112216928822755	0.010672648492908682	0.010947954786844882	0.010839422693160473	0.010980820348130218	0.01117486566847692	0.010951519184816912	0.011129052322594627	0.010875474196296146	0.01101036545377447	0.01125802057074073	0.010780725946608168	0.011298667486486657	0.011287891813208932	0.011451978197333287	0.011390332968082775	0.011621745435768617	0.011424235432643213	0.012315495590076334	0.011762304079766566	0.0016545399558377698	0.001603420082104653	0.0015670009056209346	0.002240954781543929	0.0025332454747814116	0.001604268779030795	0.0018602333104700078	0.001848138546909968	0.0018112461276875227	0.0022243505469503205	0.002258432963373598	0.0017759871601139773	0.0015590063253310379	0.001810920078493052	0.0018416531060041065	0.0016277098858982206	0.002457783034002924	0.002010347597311342	0.0015937259637838804	0.0013439060420514777	0.0016310300965425143	0.0016022373432725632	0.0025794834754186455	0.0017992945178850412
club-moss_0.001_2x_23	0.0	0.0	0.0	0.0008503586878589147	0.0	0.0	0.0	0.0	0.0	0.0005937205316144246	0.000477170994358114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010579510380317769	0.010534253002067414	0.010379464086587124	0.010656630059166521	0.010626779882345087	0.010483437948408534	0.010775946656638056	0.010571481128413315	0.010543095284514189	0.011014036068646307	0.010471735910424069	0.010641268575304258	0.01080084266288308	0.01081378094127821	0.010866714540912691	0.01080617531748208	0.010938358781456827	0.010921031154743554	0.011344813754853052	0.011265703818048464	0.011358358719005123	0.01126687659816877	0.011984272086706773	0.011464408714559204	0.0015218984428038125	0.0011201304244858861	0.0012435877471057663	0.0018619295477989024	0.0018066493769025049	0.0011855548223531633	0.0015734866335828618	0.0013156046066644536	0.001364231413576047	0.0020546859210469424	0.0016311335312836988	0.0012908230197549125	0.0016250410285930173	0.0014547526985403184	0.0014724780277617865	0.0016211517770139499	0.0019520504351741763	0.0015200614711490942	0.0017001687836648714	0.001247644382011184	0.0015972939780395654	0.001559653488983762	0.0023065602477532468	0.001499634871142544
club-moss_0.001_2x_25	0.0	0.0	0.0	0.000666343063807483	0.0	0.0	0.0	0.0	0.0	0.00046466598286070397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010379347712942034	0.010309835198613792	0.010213890191427523	0.010502542705111596	0.010366434735170392	0.010192110611765903	0.010470269760456353	0.010340290183350608	0.010395607871589746	0.010695059415413516	0.010271589553752698	0.010391543782612077	0.01061261365926606	0.010590830252090051	0.010605349479064953	0.010495611947550915	0.010592004077671724	0.010637161901558638	0.010921520828027411	0.010911282707389563	0.011189646497807652	0.010960173124689677	0.011457320166623297	0.011131729144386142	0.0014127883152744928	0.0009998831298032207	0.0011659772726659464	0.0018174530371594328	0.0014636060410666647	0.0011853471660277432	0.0015213503136701125	0.0014098954140000614	0.0011869280140173932	0.001871885337168258	0.001387284589210154	0.0011721780780338637	0.0016027081488214031	0.0013062279672713469	0.0013426803642105078	0.0014935462600922148	0.0017250101463849741	0.0014229686728429553	0.0015226925123133883	0.001231784252858039	0.0014170136972601955	0.0014829469062033708	0.001976229455017927	0.001421567346035361
club-moss_0.001_2x_HiSeq2500L150R	0.001145744025255779	0.0007925240975376715	0.0007945610520703848	0.0	0.001499946114301271	0.0008976063156739722	0.0009594005175989099	0.0007119109431113274	0.0005940214493207692	0.0	0.0018286479698088206	0.0	0.0006278447855796966	0.0	0.0006973336315389398	0.0	0.0013024008570049533	0.0006880920123956085	0.0007622553193427301	0.0005740913688978785	0.0006345144982998557	0.0	0.0016519755596868684	0.0006065711502041319	0.011628442261279778	0.011490109766396781	0.011408626290916307	0.011112451529078271	0.011891292885572769	0.01129194854831078	0.011380164141542295	0.01150533921058239	0.011568188852158778	0.011594188278354971	0.011635575897178585	0.011588521501929327	0.011691722558447394	0.011826332761739338	0.011884154631549357	0.01153946951033001	0.012404637845843391	0.011936649180528742	0.01189471234225328	0.012344820134081221	0.012455340902992423	0.011669445683771614	0.013225744948567361	0.01251698300472974	0.002287930172092043	0.002241368102447583	0.002102165025796553	0.0024534240986792176	0.0031807244954038215	0.002184252229194861	0.002548177004612638	0.0026059545561470045	0.0023941354128515125	0.002704504705503485	0.0029017490340509547	0.0023561421636998777	0.0024104498330367145	0.0025056545553788496	0.0026580458650339463	0.0024788824106959035	0.0035616113019166003	0.0026907561047702956	0.0023565089910011173	0.0023004697208440545	0.002461962648793012	0.002433013331548489	0.003654004417822525	0.0025357768496841273
