sample	rotifer_0.06_1x_20	rotifer_0.06_1x_23	rotifer_0.06_1x_25	rotifer_0.06_1x_30	rotifer_0.06_2x_20	rotifer_0.06_2x_23	rotifer_0.06_2x_25	rotifer_0.06_2x_30	rotifer_0.06_4x_20	rotifer_0.06_4x_23	rotifer_0.06_4x_25	rotifer_0.06_4x_30	rotifer_0.06_8x_20	rotifer_0.06_8x_23	rotifer_0.06_8x_25	rotifer_0.06_8x_30	rotifer_0.0_1x_17	rotifer_0.0_1x_20	rotifer_0.0_1x_23	rotifer_0.0_1x_25	rotifer_0.0_1x_30	rotifer_0.0_2x_17	rotifer_0.0_2x_20	rotifer_0.0_2x_23	rotifer_0.0_2x_25	rotifer_0.0_2x_30	rotifer_0.0_4x_17	rotifer_0.0_4x_20	rotifer_0.0_4x_23	rotifer_0.0_4x_25	rotifer_0.0_4x_30	rotifer_0.0_8x_17	rotifer_0.0_8x_20	rotifer_0.0_8x_23	rotifer_0.0_8x_25	rotifer_0.0_8x_30
rotifer_0.06_1x_20	0.0	9.333436486902436e-05	0.00014631602450310144	0.0002832055836594627	0	0.0002792004578728857	0.0003062941475997505	0.00014180386298245917	0	0.000187007507354231	9.748932828346213e-05	0.00013708864271644305	0.0003447163309441281	0.00030509402953715625	0.0002946517111709346	0.0002434117180817319	0.054963923962877415	0.055129596060212394	0.055295382449112584	0.056215374390186645	0.05607636578320763	0.05497492112763713	0.05547373733184757	0.05669303200352427	0.05685820048219703	0.05711099646300066	0.05529168831042164	0.05551727441190846	0.05624211272354529	0.05622261390738048	0.05690958761893472	0.05609214981568256	0.05757157138770397	0.057366664748151885	0.057502700375402505	0.05741364948849437
rotifer_0.06_1x_23	9.333436486902436e-05	0.0	0	0	0	0	0	0	5.7790463094620215e-05	0	0	0	0.00013963574979891646	0	0	0	0.05619070387190339	0.056179214093759144	0.0563320518592928	0.056864187118778386	0.057347318957865934	0.056891554178783776	0.056744932598673636	0.05714151580024507	0.05770645393873308	0.05822517306093167	0.055655769029083424	0.05647229545097443	0.05720021984116064	0.05725900710611154	0.057941146830070345	0.05706290848183704	0.058777598902121087	0.058497430138438444	0.05858091022902623	0.05849876603897419
rotifer_0.06_1x_25	0.00014631602450310144	0	0.0	5.448357932091863e-05	1.440872255831227e-05	0	0	0	0	0	0	0	0.0001896337096003453	0	0	0	0.05567848082929405	0.055654723888463375	0.05597283446495793	0.0566343823908767	0.05708849641039648	0.05668317145473878	0.05630924340125687	0.05681869176076493	0.05729966839438139	0.057557317560977594	0.055859550588940876	0.05661189830715552	0.05688462854282039	0.056781712716974075	0.05730745483794908	0.05645496666179717	0.058343340657666665	0.05796769160910342	0.05811572716044999	0.05796658995507897
rotifer_0.06_1x_30	0.0002832055836594627	0	5.448357932091863e-05	0.0	0.00024178268721120055	1.585320403851842e-05	0.00015465049661711472	0	0.0002734413927077961	8.555505382457085e-05	4.913524696636973e-05	0	0.00028519959368678016	0.00014737896868566303	0.00011871317226963551	6.95715109070294e-05	0.055164161740208884	0.055600253410343026	0.056048974569832266	0.056675921422420394	0.0566448606222838	0.055788783517328744	0.056064268724520194	0.056863744679016004	0.05719643509116823	0.057533177082110254	0.05583864346424228	0.05607455237686998	0.05666987309099192	0.05686242208433645	0.057622451824152154	0.056641141652932325	0.05822204192621305	0.05796953039639874	0.0581207620154609	0.057912550952929354
rotifer_0.06_2x_20	0	0	1.440872255831227e-05	0.00024178268721120055	0.0	0.0001372105670272017	0.00019346745387160968	0.0001628498018099167	0	9.756804347926806e-05	4.845527422647766e-05	0.0001529691277590839	0.00028890374822432285	0.00026910283135683777	0.0002412006705755365	0.00020674452750490957	0.05578266760022388	0.056073638711179985	0.056778682801135516	0.0570432717055428	0.05736401137101854	0.05694925510767468	0.05720589229333717	0.05719754651755682	0.05802191783937183	0.05812782726407617	0.056204629996579936	0.05677719179693219	0.057462700984431514	0.057897420009629386	0.05834772528232102	0.0566808774328833	0.058639836018237856	0.05864991628954097	0.058816163223785356	0.05869260249546793
rotifer_0.06_2x_23	0.0002792004578728857	0	0	1.585320403851842e-05	0.0001372105670272017	0.0	8.762500995096456e-05	4.246234065019561e-05	0.00010508688158483714	0	0	1.861713977946433e-05	0.0002480214039517481	6.791610820711114e-05	9.347027872363967e-05	6.0563940009417117e-05	0.05590409192388157	0.05634391733325905	0.05681356021375339	0.05720189472800086	0.0575428988764376	0.056840355792639574	0.05702297762244124	0.057049731910282286	0.057645563105832465	0.058016311267346965	0.0562221625638778	0.056921969269622785	0.05746182309966419	0.05767887895343227	0.058092149095594015	0.056648375046802646	0.05853801173280038	0.05847675283899312	0.05851103886844988	0.05850860803873059
rotifer_0.06_2x_25	0.0003062941475997505	0	0	0.00015465049661711472	0.00019346745387160968	8.762500995096456e-05	0.0	4.388036812907892e-06	0.00017311290090760156	4.955944469853257e-05	0	0	0.00026421114868357964	0.0001424931888440728	5.679623492638175e-05	8.984240977494284e-05	0.05613105534072205	0.05664090273843181	0.05706884865184836	0.05729004458584741	0.057808940274074794	0.05715311096001707	0.057484924729506615	0.05717872030485949	0.05794131015457138	0.058137632266491046	0.05626868543789432	0.057066239808824304	0.057622217030420586	0.05777697424756889	0.058062469076426315	0.05694528956715772	0.058542624257180376	0.058443859481223104	0.05854915343244982	0.0584919750024574
rotifer_0.06_2x_30	0.00014180386298245917	0	0	0	0.0001628498018099167	4.246234065019561e-05	4.388036812907892e-06	0.0	0.00018590821120600953	8.426920438342478e-06	0	0	0.0002323076055857909	9.133078570167097e-05	7.340592136684254e-05	1.9698125722111826e-05	0.056602139907882765	0.05714743259753996	0.05712678660835002	0.05732218172645975	0.057911653400511964	0.05694590896551388	0.057496854909841466	0.05751400391895667	0.0578884091038816	0.05834441085383124	0.056721882542220436	0.05693182081379844	0.057606249128010045	0.05774421482153036	0.05818849681224347	0.05704218755871793	0.058911906213770626	0.05869184441852393	0.058863862314040394	0.05872532838896638
rotifer_0.06_4x_20	0	5.7790463094620215e-05	0	0.0002734413927077961	0	0.00010508688158483714	0.00017311290090760156	0.00018590821120600953	0.0	0.0001632683124226375	5.5371663012060424e-05	0.00011752354306893142	0.00026455697918903454	0.00023095937009254275	0.0002322721502202585	0.00018227699127948416	0.05546668895925577	0.05629479879527477	0.056450682298653576	0.057194743966903605	0.05762996190024128	0.056873627060440524	0.057115675941392885	0.057631013913581386	0.058349206239382556	0.05822288734931225	0.055667358928958355	0.05686415204518913	0.05753488659451622	0.05785727654377404	0.05849163560579462	0.05669519924039379	0.05878942992980185	0.05891470750545347	0.059114106675031586	0.059056530737671364
rotifer_0.06_4x_23	0.000187007507354231	0	0	8.555505382457085e-05	9.756804347926806e-05	0	4.955944469853257e-05	8.426920438342478e-06	0.0001632683124226375	0.0	0	1.4221586951301823e-05	0.000257315029959182	0.00010906437294411209	0.00010634200381876013	8.376799301812454e-05	0.05569289323472648	0.05640865500051773	0.05674824441848736	0.057170956305478304	0.05765870315429655	0.05721193445085104	0.05727595228630922	0.05727252988752407	0.058157603181565154	0.0583452191516487	0.05610428052944427	0.05689504863479977	0.05778767025416842	0.05779310632402945	0.05830850494087225	0.05664680223233354	0.058654932870467524	0.058684272351703926	0.058843048205031945	0.05879812142509322
