sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
rotifer_0.001_8x_HiSeq2500L150R.hist	86409815	3272918	593717	238745	114829	72485	78918	38773	32150	36779	20097	9910	13777	16547	8561	4284	6795	9070	4027	2191	4139	6532	2829	827	490	1567	3730	1200	399	198	4064	1965	785	89	27	996	2282	1243	247	12	3	0	2708	1014	168	55	23	6	1	2226	96505141
rotifer_0.0_1x_20.hist	85239485	4526933	584934	249413	138611	86473	126694	62246	24508	12498	6050	4650	6464	10672	13241	19159	29459	12273	1951	1061	687	213	91	25	0	0	0	0	823	11528	9254	2748	1098	125	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9279	101584444
rotifer_0.001_1x_novaseq_profR.hist	84850588	2800534	500473	209752	109550	65577	38343	18837	20431	23373	27263	30806	13941	7706	4208	6088	9656	12890	2678	1457	944	345	1640	3188	6813	3784	853	273	90	44	12	2	852	2557	7859	490	139	75	14	0	0	0	0	0	0	0	0	0	0	6892	96811028
rotifer_0.0_2x_MiSeqv3L250R.hist	85673734	3173578	563779	232904	116149	70140	40867	36505	55141	40504	19610	9670	6124	10111	12544	17812	10267	4277	679	493	930	1522	7233	14012	823	456	102	31	9	3	0	0	2265	5307	1687	104	29	14	3983	220	72	28	14	4	0	0	0	0	0	6139	97460335
rotifer_0.001_1x_23.hist	84936074	3611020	489008	209476	116686	72890	114060	56038	22064	11251	7728	8731	12138	20042	24866	9649	5561	2316	367	511	964	1578	7496	11317	664	368	82	25	7	2	0	0	942	2825	7894	492	140	75	14	0	0	0	0	0	0	0	0	0	0	7261	98854089
rotifer_0.0_1x_HiSeq2500L150R.hist	85731017	3579345	593766	230033	130307	82149	98708	88174	44989	22943	11107	5477	3774	6231	7730	11185	17742	23684	5939	3232	2096	654	282	81	3	1	0	0	413	5785	9380	2786	1113	127	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9743	97974125
rotifer_0.01_8x_20.hist	90470399	2201503	417659	163432	80457	50436	45191	25649	29729	15160	12917	14595	5602	7571	9392	2987	3583	4782	3336	1815	2741	3172	1373	458	979	3134	1687	542	742	731	215	63	3494	402	126	6	0	0	1222	1190	395	161	84	30	174	602	269	88	28	1054	98653645
rotifer_0.0_2x_25.hist	85392475	3227249	575681	236209	115131	71186	58256	52038	53362	27213	13175	8731	12138	20041	18032	5736	3305	1376	1441	3546	6698	10965	4750	1389	80	43	8	1	1832	7602	2251	668	266	29	8	0	0	0	4253	2065	687	280	148	54	8	1	0	0	0	4489	99374657
rotifer_0.001_2x_23.hist	86032135	3194018	581440	236280	111339	70326	62797	56094	44403	22644	12971	14656	20375	13118	6787	4129	6549	8742	7788	4239	2748	857	624	1212	2590	8287	3812	1226	407	202	59	16	5	0	0	2117	4231	2307	460	24	7	1	0	0	0	0	0	0	1725	4070	99158504
rotifer_0.0_1x_MiSeqv3L250R.hist	86217557	3186548	555325	219498	122530	76634	120958	59427	23398	11932	5776	6498	9034	14916	18506	21577	12438	5181	957	2356	4450	2479	1073	313	17	8	0	0	689	9650	7744	2300	919	105	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8675	98584470
rotifer_0.001_8x_23.hist	85968007	3049042	588184	230199	114028	71603	59884	37533	44270	22577	19510	20794	7982	13179	11751	3870	6137	8193	4263	2320	4312	6211	2690	786	996	3188	3484	1121	372	185	3326	987	393	44	3720	391	111	59	1789	98	31	798	1539	576	95	30	12	1103	366	1069	98806409
rotifer_0.001_2x_25.hist	86400044	3286994	623225	239271	122330	76493	71117	63526	34244	17463	15245	17226	23948	15081	7803	2481	1653	2206	4644	11431	8994	2809	1216	354	115	367	873	2327	6847	3422	1013	300	119	12	3	0	0	0	3640	2463	820	335	176	65	9	2	0	0	0	4453	100382912
rotifer_0.01_1x_20.hist	92110434	1980774	428694	161277	76581	48915	34423	30749	46446	33278	16111	7945	3049	1684	1380	1995	3164	4224	8892	8937	5796	1810	783	228	12	5	0	0	0	0	188	375	8679	1000	317	18	4	1	0	0	0	0	0	0	0	0	0	0	0	4356	99788136
rotifer_0.0_8x_MiSeqv3L250R.hist	85523650	3111158	607255	237785	117441	73898	71344	35051	46695	23813	17884	20208	16607	9179	6473	9365	10032	4179	2841	6993	7085	2213	958	1652	3529	3533	1960	630	209	1686	4067	1207	482	54	16	1699	2421	1319	262	13	3	0	1284	1676	278	91	40	12	1601	1041	96575173
rotifer_0.01_4x_25.hist	90396451	2129931	404239	159885	77607	48745	48789	23970	29506	18594	9001	9578	13315	9120	4718	2336	3704	4944	4689	2552	1654	516	1834	3565	346	1108	2637	1134	377	187	54	108	3663	421	133	7	1	0	1758	968	321	130	68	24	3	0	563	1188	395	236	99795497
rotifer_0.0_8x_20.hist	85656439	3273037	624829	244473	121758	76467	69920	34352	47101	28906	15582	17607	14277	10672	13241	5065	5604	7481	8088	4402	2854	1376	6539	1912	794	2539	3322	1068	355	176	4992	1565	625	71	21	0	2539	2549	508	27	8	2	638	2092	347	114	50	15	4	2751	97656897
rotifer_0.0_4x_23.hist	85753706	3413584	615955	247748	119147	75235	80755	47038	24483	28008	32670	18179	6978	9678	12007	10853	6255	3682	7752	6033	3912	1221	1649	3207	5262	2922	658	211	69	33	5957	1769	706	80	24	0	0	1973	4683	259	85	34	17	5	0	973	850	282	93	2118	99489933
rotifer_0.0_2x_20.hist	86450351	3726827	707036	261819	146954	92188	96336	47330	19835	22690	26467	29907	11481	6345	4972	7194	11410	15231	4260	2318	1503	468	1803	3505	7489	6100	1376	442	146	72	20	5	1	0	10531	1254	359	195	38	1	0	0	0	0	0	0	0	418	3894	2335	99834603
rotifer_0.0_4x_25.hist	85586178	3205993	604981	241059	116605	73613	80905	45172	25011	28612	33374	16458	6317	10053	12472	10142	5845	3248	6838	7011	4546	1419	2083	1550	3312	6340	1430	459	152	75	643	1285	5506	634	200	11	2	0	3741	634	210	85	44	2044	339	112	49	15	4	2730	99538700
rotifer_0.01_4x_novaseq_profR.hist	90284026	2099532	414021	158695	83212	50792	45100	22657	34223	19882	9625	8306	11547	9027	4670	2895	4592	6130	4069	2214	1435	447	1382	2686	3458	1920	432	138	146	2050	1494	443	176	19	5	690	2159	1177	234	12	3	0	0	0	795	1176	526	174	57	68	99858482
rotifer_0.001_4x_25.hist	86088353	3131700	573443	230185	110794	69956	76128	37402	35492	30595	14812	13360	18574	13341	6902	3895	6177	8245	7341	3996	2591	808	2936	5708	3208	1781	401	128	316	4430	1986	589	234	26	7	2928	2173	1184	235	12	3	0	0	2107	1025	340	151	49	15	1740	99573566
rotifer_0.0_8x_HiSeq2500L150R.hist	85769968	3443153	616151	249432	119478	75428	81798	49981	24380	27890	31590	15578	8437	13931	7684	7848	12448	5185	1499	3690	6970	5201	2252	658	1114	3563	3944	1269	422	210	1414	2828	3063	352	111	5	0	2269	2620	144	47	18	8	2	1851	803	359	118	38	1428	96507510
rotifer_0.0_1x_novaseq_profR.hist	86256286	3231095	702094	252223	140489	89041	75727	67645	55681	28396	13747	6779	5559	9178	11387	16477	20299	8457	1344	730	473	146	696	1353	2891	9250	4358	1402	466	232	67	19	6	0	9206	574	164	88	16	0	0	0	0	0	0	0	0	0	0	7612	99614756
rotifer_0.0_8x_23.hist	85451337	3101438	619619	239178	120594	75496	54922	49060	43179	22020	19267	21771	14002	7739	8619	12345	7115	2963	3571	7797	5056	1579	1890	3675	3377	1875	732	1953	2536	1267	555	1109	2600	299	94	2220	993	541	107	4	2203	1097	581	217	35	10	812	804	267	1346	98680708
rotifer_0.01_2x_MiSeqv3L250R.hist	91015010	1977837	400130	157766	73650	46848	40347	36041	41275	21049	10190	5024	5082	8391	10410	9282	5350	2228	353	485	915	1497	7111	3254	190	104	22	6	1	0	789	1578	5305	611	193	11	2	0	0	0	0	0	0	2284	379	125	55	17	4	2009	98624787
rotifer_0.0_2x_HiSeq2500L150R.hist	87505498	3520206	678694	257431	131703	83249	82778	73944	38377	19571	9475	8739	12149	20060	24853	7906	4557	1897	432	1064	2009	3289	15624	4570	267	147	32	9	2	0	7831	2874	1148	131	40	1	0	0	0	3191	2387	977	517	193	31	9	3	0	0	4068	99056607
rotifer_0.0_4x_HiSeq2500L150R.hist	88267697	3670292	681243	261052	140134	85560	50037	44696	54350	27717	13419	14947	20780	16895	8741	3238	5135	6855	10576	5757	3733	1165	1109	2156	4607	6074	1370	440	145	71	20	5	7770	996	315	18	4	1	0	0	3642	1491	790	295	48	15	5	0	0	3153	99508597
rotifer_0.001_4x_23.hist	86346475	3227273	574897	234030	111802	70737	73348	65520	25797	18202	21231	23990	13514	7469	5363	7760	12308	8975	1426	3497	2267	878	4174	8115	1574	873	196	62	232	3249	3437	1020	407	45	13	0	3077	1677	334	17	463	1906	1010	378	62	19	7	1	0	2607	99402886
rotifer_0.001_4x_MiSeqv3L250R.hist	86311732	3269203	585552	234031	116653	72011	61838	55238	35270	17986	20333	22975	16896	9339	4831	4688	7435	9925	3099	2300	4344	7111	3080	900	268	858	2041	5442	2732	1365	403	118	46	4	0	0	3197	3729	744	40	12	4	1	0	0	11	2984	993	330	497	97765492
rotifer_0.001_2x_HiSeq2500L150R.hist	88656164	3461998	668346	247371	139428	87665	99018	65186	25666	13088	11052	12487	17360	28664	14832	4718	2718	1131	1167	2873	5426	8883	7176	2099	122	67	14	3	6063	3819	1130	334	132	14	3	0	4285	2336	466	24	7	1	0	0	0	0	0	0	0	6096	100004794
rotifer_0.0_4x_20.hist	86893197	3539602	660668	255996	127720	80562	84302	56824	22373	25594	29854	21839	8383	8268	10258	13100	7550	3145	2015	4961	9159	2861	1238	1942	4150	4988	1125	361	119	58	2319	4637	1853	212	66	3	0	0	1846	3048	1015	415	219	81	12	3	0	0	0	4074	99262495
rotifer_0.001_1x_20.hist	86683899	4142976	542363	231608	128967	80546	124804	61317	24142	12311	5960	5396	7501	12384	15365	22233	15601	6499	1033	561	685	1120	5321	5607	328	181	40	11	259	3626	10377	3082	1231	141	43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8388	101661294
rotifer_0.0_2x_novaseq_profR.hist	85378577	3198216	578504	237119	115163	70571	45918	41017	61956	34030	16475	8124	7988	13189	16363	12476	7191	2995	867	2133	4028	6594	9477	2772	162	89	19	5	558	7815	2314	686	273	30	8	0	0	486	5951	329	108	43	22	7	0	0	0	0	0	4864	99524906
rotifer_0.0_1x_23.hist	84128396	3398551	476533	204209	113877	71180	117968	57958	22820	11637	7014	7925	11018	18191	22570	10194	5876	2447	388	583	1101	1801	8557	14730	865	479	107	33	10	4	0	0	1082	3247	7513	468	133	71	13	0	0	0	0	0	0	0	0	0	0	7640	97701030
rotifer_0.01_1x_25.hist	92296956	2520324	557480	195277	103481	66136	34644	30946	46744	36119	17487	8623	3309	1828	1661	2402	3810	5085	10705	7202	4671	1458	631	183	9	4	0	0	0	0	1890	3780	4931	567	179	10	1	0	0	0	0	0	0	0	0	0	0	0	0	4519	101947721
rotifer_0.001_2x_MiSeqv3L250R.hist	86496198	3297887	629208	240118	129559	79374	41982	29888	45145	45507	22032	10864	4170	6596	8183	11840	18780	7824	1243	676	437	317	1507	2929	6258	7743	1747	561	186	92	26	6	2270	4404	1400	86	23	12	1	0	0	2528	1341	502	82	26	10	2	0	4109	98497621
rotifer_0.01_4x_20.hist	91268819	2615285	436404	171037	90452	54652	38493	34384	32473	16560	8306	9385	13047	11633	6018	1914	2926	3905	6120	3331	2159	673	976	1898	3606	2002	451	144	163	2291	678	200	528	1584	1764	109	30	15	2	0	323	1623	860	321	52	16	6	1	0	1541	100090858
rotifer_0.001_2x_20.hist	87177039	3229265	654832	240212	135259	85000	89680	44060	22879	26173	30529	22017	8452	4671	4257	6159	9768	13040	10627	5785	3751	1171	506	147	91	292	696	1855	7835	3916	1159	343	136	14	3	0	0	0	3185	2628	875	357	188	69	10	2	0	0	0	4672	99228082
rotifer_0.0_8x_25.hist	85418660	3100252	611148	237074	119054	74663	54389	48584	38272	24776	20241	22871	10085	13280	6871	6988	11083	5077	2429	5979	6086	1901	2123	4127	2739	1520	616	1643	3532	1765	522	154	778	2333	2008	124	34	578	2687	148	48	224	1743	652	107	34	14	1123	841	503	99207400
rotifer_0.01_2x_20.hist	91466425	2183329	459014	167135	93718	58759	70697	35912	14139	7691	8970	10135	14091	14830	7673	2440	1405	1469	3091	6628	4298	1342	580	168	324	1036	2465	4488	1495	746	220	64	24	1	0	0	0	3611	1006	54	17	6	2	0	0	0	0	0	0	3415	99752073
rotifer_0.01_8x_25.hist	90324045	2072775	418347	159515	81727	50790	42661	29048	26614	19505	9443	10174	13405	7409	3833	4503	6938	2890	1001	2463	4652	1452	782	1520	2897	1608	362	115	1271	2347	694	205	81	8	2180	846	242	131	25	867	500	204	107	39	1115	370	165	54	17	804	99609305
rotifer_0.01_4x_23.hist	90494482	2371377	412772	165954	79751	50260	56832	30330	18054	20653	17622	8690	5260	8684	10774	4265	2458	1463	3080	5654	3666	1144	495	447	954	3053	2937	944	313	155	45	12	3493	1016	322	19	4	1	0	829	1452	594	314	116	18	5	1	0	388	1396	100029710
rotifer_0.01_2x_25.hist	90558798	2085095	419630	163904	76775	48710	43786	39112	33417	17042	8250	4861	6758	11158	13744	4372	2519	1048	911	2243	4236	5471	2369	692	39	21	3	0	4355	2592	767	226	89	9	1	0	0	3656	730	39	12	3	1	0	0	0	0	0	0	2601	99786482
rotifer_0.001_4x_HiSeq2500L150R.hist	88744666	3562569	669711	252108	138892	86206	54922	28992	43792	36087	17471	12442	17297	16337	8453	2688	4175	5572	11731	6385	4141	1293	848	1648	3520	4747	1070	343	150	2101	4545	1349	538	61	18	0	877	3459	690	37	228	1220	647	241	39	12	4	0	0	4100	99704788
rotifer_0.01_4x_MiSeqv3L250R.hist	90719348	2263882	419761	165478	81329	50493	47638	42554	20265	12132	14151	15989	8197	4530	3765	5447	8640	6772	1076	585	429	701	3331	6476	713	395	88	27	8	3	4827	1433	572	65	19	0	0	0	0	1577	1165	476	251	93	14	3	0	0	0	2051	98780737
rotifer_0.001_8x_20.hist	86237097	3087098	596969	233260	115921	72726	53396	47697	41119	20970	21020	21197	8137	10393	12894	7848	4523	3466	7296	6581	4267	1332	1487	2891	4138	2298	517	479	3719	1858	549	162	385	1154	3671	228	64	34	5	2012	1425	583	308	114	18	5	196	1957	651	389	97706031
rotifer_0.01_1x_23.hist	89554426	1739158	331816	139560	73686	44470	39153	19235	10464	11969	13961	15775	16969	9379	4852	1543	888	624	1314	3234	6108	6700	2902	848	48	26	4	0	0	0	0	0	1519	4556	2386	148	41	21	3	0	0	0	0	0	0	0	0	0	0	4418	97139974
rotifer_0.0_1x_25.hist	86302611	3370093	654222	247448	133878	82165	40758	24048	36324	41553	48470	23903	9176	5071	2623	1818	2883	3848	8100	16147	10472	3271	1416	413	23	11	1	0	0	0	0	0	9060	5421	1724	106	29	15	2	0	0	0	0	0	0	0	0	0	0	7907	99958858
rotifer_0.01_8x_23.hist	90381781	2067185	414416	158548	81369	50243	48232	36900	17677	20221	15583	7715	10725	7872	4073	5892	6583	2741	867	2134	4031	2411	1044	1223	2613	1450	326	732	2285	1141	337	99	753	1708	542	32	8	857	1243	68	21	7	956	538	88	28	11	2	0	1599	99280203
rotifer_0.0_8x_novaseq_profR.hist	85492035	3039223	614277	235565	121127	75100	73993	41274	31435	35960	17410	15448	17867	9876	6395	9253	10445	4351	2025	4983	6271	1958	2802	5449	1280	710	1690	3573	1190	594	887	1773	2854	328	103	839	240	1808	2053	113	36	14	6	2214	625	207	92	29	8	2100	99425003
rotifer_0.01_1x_MiSeqv3L250R.hist	92026054	2020708	425532	171332	78041	47309	17148	15317	23135	26466	30871	20326	7802	4312	2230	708	805	1074	2260	5562	10506	3309	1432	418	23	12	1	0	0	0	5388	4272	1707	196	61	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4965	99593032
rotifer_0.0_4x_MiSeqv3L250R.hist	85675602	3403258	630624	245929	126613	77803	61610	55034	48737	24855	12033	12756	17734	16281	8423	4808	7626	10180	4725	2571	4856	1516	1585	3081	6583	3753	846	271	89	43	1909	3817	3117	358	113	6	0	0	98	4095	1364	558	295	109	17	4	1	0	0	4224	97766400
rotifer_0.001_8x_25.hist	85932223	2948714	585080	225861	114690	71505	63048	44514	32155	32593	15779	15646	15263	8436	10466	8100	4668	4672	8254	4493	2913	909	3180	6183	1092	605	878	2341	3376	1687	498	147	810	2430	1478	91	25	22	3486	192	63	24	12	1081	927	308	137	44	13	1913	99168091
rotifer_0.001_4x_20.hist	87467680	3356894	624629	241292	128619	78154	52591	46977	47036	23987	15072	17031	20968	11590	5996	4355	6907	9219	6981	3800	2463	768	1668	3242	6928	3848	867	278	91	44	148	295	7571	872	276	16	3	1	0	1376	2190	896	474	177	28	8	2	0	0	4081	99143060
rotifer_0.01_1x_novaseq_profR.hist	91152869	1994629	431603	157059	88263	55406	67556	37853	14904	9080	10590	11966	16636	11860	6136	1951	1123	467	924	2274	4295	7032	4021	1175	68	36	7	1	0	0	1996	3992	3263	375	118	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4641	99486496
rotifer_0.001_4x_novaseq_profR.hist	85870621	3109536	581468	230737	112332	70926	77529	49603	27533	24296	17614	19903	17095	9449	5072	7339	11640	4849	2033	5005	8099	2530	1095	849	1814	5805	1309	420	139	68	2151	4302	1747	200	62	2	0	0	1769	2273	756	309	163	60	962	319	142	46	14	2506	99700367
