sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
moss_0.0_8x_novaseq_profR.hist	52930904	6670426	1531990	615086	316080	199331	218924	170747	163883	83579	81265	87353	33536	49609	61552	23037	34467	46012	22709	16510	31184	29064	12593	9855	21059	19226	4340	1396	18533	14155	4193	1244	4606	13817	11467	715	204	110	11468	5737	1911	782	414	12394	2064	687	307	101	32	15183	99387153
moss_0.01_1x_25.hist	63981016	9935905	1457583	624621	348321	217726	274905	135064	53180	44165	51516	58212	80932	89429	46276	14723	8486	3535	6329	15578	29424	48171	27390	8013	470	260	57	17	4	1	0	0	42061	16160	5141	320	91	48	8	0	0	0	0	0	0	0	0	0	0	37433	109733371
moss_0.01_8x_MiSeqv3L250R.hist	66439754	5673543	1253482	507186	251136	158855	211624	103973	86345	98777	47824	44912	58951	32587	32943	38176	22006	13971	26475	14413	9469	15501	15371	4496	3139	10044	14861	4784	1593	795	6140	12280	5141	592	187	10	9103	6093	1217	66	21	366	8301	3112	517	171	75	24	7	11280	92925523
moss_0.0_2x_20.hist	55186485	10665620	2048981	864445	460654	280835	220069	196584	248929	126952	61466	69456	96564	78720	40734	12959	16982	22669	47724	66322	43018	13442	5824	3157	6745	21585	51372	16542	5513	2755	815	241	95	10	13481	38040	10935	5963	1191	65	20	7	2	0	0	0	0	0	0	46927	105543811
moss_0.001_1x_novaseq_profR.hist	51090308	10033530	1663147	715974	404350	254503	422248	235043	92547	47198	42580	48115	66893	110451	94458	30054	17324	7217	4443	10935	20655	33815	92099	26948	1584	879	197	62	19	8	1	0	42484	35419	11268	703	201	108	20	0	0	0	0	0	0	0	0	0	0	48502	104771985
moss_0.01_8x_HiSeq2500L150R.hist	67618848	6723936	1396407	573728	280932	176963	227049	111552	94849	104067	50386	40388	56151	48587	25141	34762	30723	12800	16525	26351	17092	5340	7315	14224	13139	7298	1647	529	9658	13809	4090	1214	484	54	8109	10454	3004	1637	326	17	4	0	0	0	0	0	0	0	0	0	74691228
moss_0.01_4x_MiSeqv3L250R.hist	65997118	7002174	1317102	554952	294576	178461	137158	122521	156034	79576	38528	33958	47212	77954	42857	13635	10318	13774	28996	32934	21361	6674	2891	2180	4658	14905	19694	6341	2112	1055	436	871	21131	2436	774	47	12	5	4925	11432	3809	1560	827	309	50	15	6	1	0	17208	96719824
moss_0.0_1x_25.hist	50925435	9620632	1751344	749462	416311	259641	263790	129603	90697	103756	121028	136761	52505	29024	16630	24064	38169	50954	58581	31893	20686	11765	55884	21437	1260	699	156	49	15	6	11560	23120	59290	6838	2174	134	37	19	2	0	0	0	0	0	0	0	0	0	0	53925	104223964
moss_0.01_8x_23.hist	66445100	5546870	1247847	495030	251038	158204	171455	106239	122135	62287	52595	59431	54247	29987	27125	39251	30537	12722	15722	22817	14799	4623	9007	17513	5136	3311	7879	11637	3878	1938	6717	7448	2978	342	6554	5172	1486	809	160	8200	2732	1118	592	221	4918	1638	733	243	80	8890	98740315
moss_0.0_8x_MiSeqv3L250R.hist	53236574	7223991	1613083	666846	333338	211003	292503	143710	128886	147445	71388	52464	72940	45349	33803	48914	28196	32430	43915	23908	15507	9755	46335	13557	2299	7357	17510	21036	7011	3504	6247	12494	11469	1322	419	5755	11363	6197	1238	67	21	7602	10207	3826	636	211	93	30	9	19534	87484279
moss_0.01_2x_20.hist	66874607	8629785	1472538	623422	335702	205396	143276	70392	79506	90954	106094	96386	37004	20455	15761	22806	36174	48290	30437	16570	10747	3357	2088	4060	8676	27762	19600	6310	2102	1050	310	91	35	3	4292	24611	7074	3858	770	41	12	4	1	0	0	0	0	0	0	27694	104278653
moss_0.001_2x_25.hist	51115315	11863338	1950747	835359	464874	290232	276232	135716	96509	110406	128784	145525	58885	32551	16843	22660	35942	47981	68355	37214	24138	7542	3267	5334	11397	36471	49650	15988	5328	2663	788	233	92	9	2	29434	19158	10449	2088	115	37	14	6	1	0	0	0	0	0	42935	112404251
moss_0.0_4x_23.hist	51988379	9220767	1814513	767375	411882	251453	217326	194133	217880	111117	53799	60792	84519	74469	38534	21641	34326	45824	34205	18621	20763	33991	37999	11118	1868	5978	14226	34393	11463	5730	1696	503	2527	7580	33201	2074	595	323	63	2	10770	9817	5210	1952	324	107	47	14	3	24406	102517536
moss_0.0_2x_novaseq_profR.hist	49643941	11485100	1941335	831611	463240	289373	295398	145132	96176	110025	128340	145023	55677	30777	18830	27247	43218	57694	59348	32310	20957	6548	3275	6368	13607	43541	42618	13723	4573	6205	1837	545	217	24	6	25139	25797	14070	2813	155	50	19	9	2	0	0	0	0	0	40301	111818645
moss_0.001_1x_25.hist	51670279	9774436	1668678	717188	403215	253177	419723	206215	81196	41409	42979	48565	67520	111486	109816	34940	20141	8391	2051	5048	9535	15609	74143	71924	4229	2348	529	169	55	26	6	1	23943	39253	12488	779	223	120	23	0	0	0	0	0	0	0	0	0	0	50836	104106614
