rotifer_0.001_1x_25.hist	87911009	3849632	827931	291574	156490	99853	54945	49080	73332	37398	18106	8928	3427	5433	6740	9753	15469	20650	3284	1787	1158	360	492	956	2042	6535	2660	855	284	141	40	11	2369	7108	2260	140	39	20	3	0	0	0	0	0	0	0	0	0	0	8763
rotifer_0.01_1x_25.hist	90772895	1952011	409801	163931	72838	46142	25786	23033	34791	39800	19399	9566	3671	2028	1116	1614	2560	3417	7192	9420	6109	1908	825	240	13	6	0	0	0	0	0	0	8005	2054	652	39	10	4	0	0	0	0	0	0	0	0	0	0	0	4175
rotifer_0.0_4x_25.hist	85371551	3297911	600222	242346	115805	73244	75765	60243	23719	21483	25059	26525	10182	6530	8101	11722	9384	3909	1803	4438	8382	2618	1169	2272	4855	2696	607	194	309	4327	2799	830	331	37	200	3057	877	477	94	4	474	2395	1270	475	78	25	10	2	0	2898
rotifer_0.001_4x_25.hist	86231734	3051276	583505	229711	112861	71168	81032	41450	24592	28132	29264	14431	7415	12243	15157	4821	3316	4425	9316	5437	3526	1100	1450	2819	4748	2636	594	190	2652	1325	438	875	4055	466	147	8	1	0	5011	324	107	42	21	7	0	0	1707	1482	493	294
rotifer_0.01_1x_20.hist	93152265	2848193	609410	213205	112622	72004	34498	30816	46547	38246	18517	9131	3504	1936	1581	2287	3627	4841	10192	6428	4169	1301	563	163	8	3	0	0	0	0	8418	2506	1001	114	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5884
rotifer_0.01_4x_20.hist	91681151	2295016	453666	169272	92248	56877	32524	29052	35595	18152	8788	5962	8289	13686	8896	2829	1807	2412	5077	4721	3061	955	413	595	1272	4071	1620	520	172	85	1308	2616	1160	132	41	1	0	0	2376	730	242	98	51	18	2	0	0	0	0	2897
rotifer_0.01_4x_23.hist	90707765	2116349	415810	159931	81908	50524	46743	41754	21311	12803	14933	16873	7152	3952	3940	5701	9042	3766	598	1218	2300	3765	1630	476	352	1125	2678	3012	1003	500	147	42	16	0	3601	720	206	111	21	0	3	1313	695	259	42	13	4	0	0	1684
rotifer_0.0_2x_25.hist	85436295	3293250	597143	243374	115884	72536	62752	56055	51144	26082	12627	7238	10062	16613	20612	8540	4922	2049	1409	3468	6551	2046	5001	9723	1743	967	217	69	22	10	1	0	8457	2007	637	38	10	4	0	0	0	0	3410	1278	212	69	30	9	2	3544
rotifer_0.001_4x_23.hist	86281240	3282474	572587	234255	113045	70604	65920	58884	32725	17040	19875	22458	17309	9567	4949	7161	11359	7342	1167	2262	4273	6953	3012	880	544	1741	4144	2660	885	441	566	1132	4253	489	154	8	1	0	3689	645	214	86	45	15	1	1962	878	291	96	1309
rotifer_0.001_2x_20.hist	87171734	3506779	680132	252053	140583	87882	72892	35812	50784	25899	12538	7305	10156	16769	20805	11073	6382	2658	421	718	1355	2218	10537	10014	588	325	72	22	6	2	1596	3192	4414	508	160	9	1	0	4875	269	88	35	17	5	0	0	0	0	0	5825
