sample	moss_0.001_1x_20	moss_0.001_1x_23	moss_0.001_1x_25	moss_0.001_1x_HiSeq2500L150R	moss_0.001_1x_MiSeqv3L250R	moss_0.001_1x_novaseq_profR	moss_0.001_2x_20	moss_0.001_2x_23	moss_0.001_2x_25	moss_0.001_2x_HiSeq2500L150R	moss_0.001_2x_MiSeqv3L250R	moss_0.001_2x_novaseq_profR	moss_0.001_4x_20	moss_0.001_4x_23	moss_0.001_4x_25	moss_0.001_4x_HiSeq2500L150R	moss_0.001_4x_MiSeqv3L250R	moss_0.001_4x_novaseq_profR	moss_0.001_8x_20	moss_0.001_8x_23	moss_0.001_8x_25	moss_0.001_8x_HiSeq2500L150R	moss_0.001_8x_MiSeqv3L250R	moss_0.001_8x_novaseq_profR	moss_0.01_1x_20	moss_0.01_1x_23	moss_0.01_1x_25	moss_0.01_1x_HiSeq2500L150R	moss_0.01_1x_MiSeqv3L250R	moss_0.01_1x_novaseq_profR	moss_0.01_2x_20	moss_0.01_2x_23	moss_0.01_2x_25	moss_0.01_2x_HiSeq2500L150R	moss_0.01_2x_MiSeqv3L250R	moss_0.01_2x_novaseq_profR	moss_0.01_4x_20	moss_0.01_4x_23	moss_0.01_4x_25	moss_0.01_4x_HiSeq2500L150R	moss_0.01_4x_MiSeqv3L250R	moss_0.01_4x_novaseq_profR	moss_0.01_8x_20	moss_0.01_8x_23	moss_0.01_8x_25	moss_0.01_8x_HiSeq2500L150R	moss_0.01_8x_MiSeqv3L250R	moss_0.01_8x_novaseq_profR	moss_0.0_1x_20	moss_0.0_1x_23	moss_0.0_1x_25	moss_0.0_1x_HiSeq2500L150R	moss_0.0_1x_MiSeqv3L250R	moss_0.0_1x_novaseq_profR	moss_0.0_2x_20	moss_0.0_2x_23	moss_0.0_2x_25	moss_0.0_2x_HiSeq2500L150R	moss_0.0_2x_MiSeqv3L250R	moss_0.0_2x_novaseq_profR	moss_0.0_4x_20	moss_0.0_4x_23	moss_0.0_4x_25	moss_0.0_4x_HiSeq2500L150R	moss_0.0_4x_MiSeqv3L250R	moss_0.0_4x_novaseq_profR	moss_0.0_8x_20	moss_0.0_8x_23	moss_0.0_8x_25	moss_0.0_8x_HiSeq2500L150R	moss_0.0_8x_MiSeqv3L250R	moss_0.0_8x_novaseq_profR
moss_0.001_1x_20	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012727015234359484	0.0010235259141518904	0	0.001066292713153838	0.0010102972376451191	0.007439247090542778	0.0077411727001901465	0.008138545979392009	0.006605283013826457	0.007232153940560648	0.007946449448905768	0.009018417814337654	0.009459378113893524	0.009794022044703476	0.008821514132482666	0.00894432251463173	0.009998420507703387	0.009903781777740317	0.009888073259726293	0.010339949668105475	0.010026671344489646	0.009953830754996895	0.010710328898570265	0.012094134483359276	0.011916837349593257	0.011842992073098135	0.009800103049648401	0.011645310307521028	0.011829708476974732	0	0	0	0	0	0	0	0	0	0	0	0.00017731675749188547	0	0	0	0	0	0	0	0.0021622459024710494	0.0019977014516149305	0	0.0019211384540519516	0.001937159504475372
moss_0.001_1x_23	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007129433829766718	0.00041523980483015865	0	0.0006642265880631992	0.0002931801661184563	0.007945627626269713	0.00808448588165378	0.008367044845386196	0.007750885931048446	0.007935425411185304	0.008042964944042885	0.009052920685152399	0.009649632673296549	0.009759111516583374	0.009363450129845963	0.009060952310568249	0.009902360231008989	0.010063284216897728	0.009936180880891654	0.010230365465525582	0.010145450564602587	0.010074843168331848	0.010487040338862386	0.012178479260151809	0.011782571961380328	0.011660779078063954	0.009937181255212035	0.01155677843505376	0.011517809454149597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017198258361409424	0.0013673305846412243	0	0.001592599911022008	0.0012444369232164076
moss_0.001_1x_25	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006000420590088762	0.00024569240452654295	0	0.0006231968307887081	0.00010798259256028508	0.0081162009898339	0.008368559859676772	0.008357790013369337	0.008247182588523527	0.008275704092336134	0.008607041248820946	0.009500561006254071	0.009725704428751425	0.009885041651073845	0.009903974941197546	0.009650095226798827	0.009982013348417973	0.010433194795834932	0.01029191336335622	0.010540083871271477	0.010870652465828634	0.010523190455304698	0.010672118032019395	0.012338667577827755	0.011885578505275829	0.011675258000636402	0.010185199048689753	0.011672128005740467	0.011599065600029768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004948679064060713	0	0	0	0.0016138342219234048	0.0012330418265344978	0	0.0016017525551964562	0.001071809650739941
moss_0.001_1x_HiSeq2500L150R	0	0	0	0.0	0	0	0	0	0	0	0	0.00023069092593897	0	0	0	0	0	0	0	0.002300026604812766	0.0022438719607297264	0	0.0019745365996610698	0.0022520401289557457	0.007166351831383255	0.007796229665907317	0.008165834303893171	0.006158266229905118	0.007068726129007108	0.008623580122971375	0.00914887773296258	0.009725711241579726	0.010037758266989716	0.008304038684358694	0.008889261850103747	0.010461637548091818	0.009459865628028807	0.010072552598800799	0.010678761097907219	0.009281706936083656	0.009981415002416116	0.01108477696572907	0.012349733159359944	0.012415725413198686	0.012509248267859041	0.010238787236996783	0.01218728456704099	0.012476763156291093	0	0	0	0	0	6.11217031634137e-05	0	0.0002442507740161304	0.0007513507951968368	0	0	0.001119039875957073	0	0	0.0005277991031811258	0	0	0.0008850315703089473	0.0007489560737166112	0.003285272894322455	0.0032525346285230405	0.00044318106836716	0.002837063934037154	0.0032576336371480386
moss_0.001_1x_MiSeqv3L250R	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012772085856563864	0.0010280616068192305	0	0.0009851694853547643	0.0009758290352467336	0.007410590035733189	0.00779661902282458	0.008306702805103261	0.007285573204980356	0.007383572667399418	0.008520780308801323	0.009302073926344079	0.010003561959495144	0.01005850237678041	0.009226022812226398	0.009158233747140976	0.010195801606164512	0.010109652562728999	0.010078990101708318	0.010754226469108619	0.010213327836300357	0.010139013419649845	0.011051419095716608	0.012281271022129281	0.012186676187027956	0.01206976299653617	0.010244211122251157	0.011757092654120727	0.01202664746313975	0	0	0	0	0	0	0	0	0	0	0	8.709738464773853e-05	0	0	0	0.000194362253936875	0	0	0	0.002269406809699226	0.0020229746204482035	0	0.001980240543972389	0.0019808594922227085
moss_0.001_1x_novaseq_profR	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.00012318730430616043	0	0	0	0.0006929075398692808	0.0002747643845193437	0	0.0007186335778870401	0.00016612011791805603	0.008783055584792199	0.008550749305346272	0.008947703077477387	0.008648656913035402	0.008519377901913483	0.00860382192659892	0.010229840519984212	0.010069416397301079	0.010274707407384343	0.010232001810141611	0.009870325772416089	0.01029080266421789	0.011012882181944739	0.010635756432062382	0.010914291988506464	0.011363386017642862	0.010938831185211217	0.010996403545816213	0.01270925877766016	0.012222048591253754	0.011965532718842598	0.01054614760369943	0.012112436255251047	0.01191408555556972	0	0	0	0.00014356145028504574	0	0	0	0	0	0.00016063195561510923	0	0	0	0	0	0.0008583151945389389	0	0	0	0.001761103900569827	0.0012766816107501189	0	0.0016678575977530086	0.0011140637761468675
moss_0.001_2x_20	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002940463231485557	0.000308876241608913	0	0	0.0003410376831056716	0.007829498217538311	0.008186822706622299	0.008508033822745897	0.007841182021075088	0.007943902810086723	0.008471501875268905	0.008667770687527776	0.009172451351110888	0.009404585051466352	0.008503390894384899	0.008857170006059678	0.009602410511376669	0.008976655684776125	0.009290948346030947	0.00985871917751846	0.009201092314976789	0.009444769876027492	0.01001490994284282	0.010859876495158405	0.0109998065568494	0.011022651428759689	0.007772857854484672	0.01052752613747343	0.011057001972964775	0	0	0	6.441708402693536e-06	0	0	0	0	0	0	0	1.3689601923383421e-05	0	0	0	0	0	0	0	0.001426893952816144	0.0014242211943849004	0	0.0009442815450587672	0.0014367190203556923
moss_0.001_2x_23	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	1.806341022669855e-05	0	0	0	0	0.008783066965910358	0.008560421229970694	0.008853234000303467	0.008923229817417333	0.008889030899498662	0.00887481703334736	0.009503881305097273	0.009658558545138751	0.009757094224760343	0.009593598172153328	0.009703642191228656	0.009937394714901626	0.01004326773342512	0.010001854593114645	0.01037971175354746	0.01032601213876383	0.01032690954226212	0.010536925697043342	0.011495480106638145	0.011323114205687324	0.011298943770256642	0.008605914976986706	0.011059112353539846	0.011270212788724532	0	0	0	0.0007637710252683672	9.698723474937943e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011620791607318548	0.0010054135884431936	0	0.0008339990149641707	0.000937010192177623
moss_0.001_2x_25	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	4.140224199400411e-05	0	0	0	0	0.009323865012294985	0.008910013019026164	0.00925495315567737	0.009700261358167706	0.009346102095164066	0.009156493189143688	0.01016485447188975	0.010133774916669669	0.01009622395776566	0.010400138752697852	0.010177796600167488	0.010227511903352804	0.010806679404585462	0.010503753511497127	0.010700987151592734	0.011177406371374543	0.01090004511676268	0.010894896671871601	0.011892689084563424	0.011669815613224777	0.011544392787602997	0.009093912791785508	0.011423850943712566	0.0114962871016695	0.0002629719003037767	0	0	0.0012267003047323755	0.0003878801925357722	0	0	0	0	0.00027559769838825243	0	0	0	0	0	0.0005655357348638423	0	0	0	0.001198764090483695	0.0009388392539420032	0	0.0009676502908613216	0.0008710495984690647
moss_0.001_2x_HiSeq2500L150R	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0008088347618920855	0.0009828401071616533	0	0.00034916751056546236	0.0010842686949594782	0.007479436713061727	0.00798929425323991	0.008337673904150855	0.007126509885158616	0.007611523024746991	0.008447859816435033	0.008315466061487808	0.009044310784597887	0.009474587141994895	0.007898470376473288	0.008547009467401168	0.009795093897561502	0.00843183935521763	0.009151450938343797	0.009834796660813327	0.008225312428693066	0.008980882467536588	0.010124935155010562	0.010798622428601079	0.011198554100548819	0.011297461870446557	0.007693704618419894	0.010653224166416342	0.011336318153987057	0	0	0.00014845360085968817	0	0	0.00024286040307763823	0	0	0.00014041766789929522	0	0	0.0004932550412627412	0	0	0	0	0	6.585162674421774e-05	0	0.0019055305449398041	0.0021076980901943987	0	0.0013463786400744748	0.0021106271946238486
