sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
moss_0.05_8x_1.hist	93605942	2048308	413278	157826	77971	48777	31988	28573	20669	11026	12861	10204	5412	7617	3941	4427	5896	2455	1555	3828	2482	2733	2523	737	1407	4503	1093	351	181	2535	2318	688	274	30	2981	1369	392	213	1058	2143	713	291	153	862	1356	451	201	66	21	2388	102909289
moss_0.1_4x_1.hist	102341252	791643	79577	32077	17690	10986	6124	3007	2132	2438	2270	1118	428	283	350	465	267	110	16	8	10	16	78	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104003194
moss_0.15_1x_1.hist	103575340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103773364
moss_0.2_8x_1.hist	103894395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103894395
moss_0.15_2x_1.hist	103916067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103916067
moss_0.1_1x_1.hist	102187878	842429	77646	29709	17251	11011	3035	2710	4092	4681	2265	1116	427	235	120	37	20	14	29	70	133	216	92	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104171957
moss_0.05_2x_1.hist	94309780	1971362	401963	157274	73077	46340	42181	37679	20661	10536	7718	8720	12123	6700	3466	1860	2950	3937	7814	4253	2758	860	372	454	971	3106	4587	1476	491	244	1018	2036	2777	319	100	5	0	0	6712	371	122	49	25	8	0	0	0	1753	2369	1420	103327892
moss_0.2_4x_1.hist	103880028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103880028
moss_0.2_2x_1.hist	103617234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103617234
moss_0.1_2x_1.hist	102375731	791910	78717	31577	17684	11080	6964	6220	2528	1288	622	702	976	1137	587	185	106	43	10	24	45	74	50	13	0	0	0	0	0	0	0	0	3	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104202222
moss_0.1_8x_1.hist	102350998	696244	86114	35078	16672	10426	5919	2907	3153	2428	1174	964	987	544	280	150	219	90	13	22	26	42	75	20	2	6	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103797161
moss_0.2_1x_1.hist	103624515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103822025
