sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
leech_0.01_1x_1.hist	146479329	1579367	236894	100882	55258	34178	41626	20450	8051	4105	4786	5407	7517	12411	8747	2782	1602	666	105	200	377	617	2932	5700	334	184	40	12	3	0	0	0	1220	2598	825	50	13	6	0	0	0	0	0	0	0	0	0	0	0	3472	153514953
leech_0.004_2x_1.hist	143304947	1806715	369554	134578	75365	47218	46726	22956	11556	13219	15419	12913	4956	2739	2896	4190	6646	6640	1055	573	371	485	2307	4485	1408	781	175	55	17	7	1	0	1659	2667	847	51	13	6	0	0	0	0	0	0	0	1987	889	295	97	57	152315477
leech_0.008_2x_1.hist	144269731	1471558	269049	111711	56638	33849	19225	17172	25938	18463	8938	4407	2134	3522	4370	6322	5884	2450	388	210	342	559	2658	5168	398	220	48	14	3	0	1922	570	227	25	7	0	0	1640	1346	73	23	8	3	0	0	0	0	0	0	2517	151499195
leech_0.002_1x_1.hist	146574639	1821679	420187	147408	78401	50038	31559	28191	42582	22394	10841	5345	4124	6808	8447	7374	4250	1769	280	570	1077	1762	8371	2448	143	78	16	4	0	0	0	0	6265	721	228	13	2	0	0	0	0	0	0	0	0	0	0	0	0	4448	155389069
leech_0.02_4x_1.hist	146833630	1358414	215205	88422	43303	26504	18193	16250	14204	7243	4017	4538	6309	3500	1810	1783	2828	2976	472	393	742	1214	1767	516	62	198	471	1255	417	207	167	334	1112	127	39	1	0	833	165	8	760	353	186	69	10	2	0	0	0	1469	152450452
leech_0.001_8x_1.hist	141154371	2026045	383993	145311	74651	46194	37978	31232	16282	18626	10010	7778	10813	5976	3194	4621	5026	4222	804	1979	3737	2365	1024	868	1854	1228	478	1273	1220	609	179	52	1764	400	126	6	0	1103	969	52	16	5	2	1090	180	59	25	7	368	848	151299054
leech_0.01_4x_1.hist	144670563	1567691	288046	113259	54855	34558	36660	18011	12038	13771	10966	5407	4271	7052	3648	1779	2821	3765	2441	1328	860	267	739	1436	2282	1267	285	90	29	13	633	1266	1285	147	45	1	0	0	0	1486	494	201	106	38	5	0	64	145	47	1550	152072446
leech_0.01_8x_1.hist	144139521	1554139	299018	113668	57745	35952	27326	18960	18952	9664	7010	7921	6692	3698	2998	4337	3192	1329	2797	1599	1274	1638	708	745	1441	799	179	229	1310	654	192	318	595	67	465	587	167	356	805	43	13	4	1	1118	185	60	26	7	1	981	151742058
leech_0.008_4x_1.hist	143975661	1591597	302602	118145	57359	36157	38126	22394	10774	12325	13171	6494	3968	6552	3925	4643	2676	1114	1322	3255	2815	878	379	394	841	2691	606	194	63	30	773	1545	617	70	21	510	145	78	14	979	620	253	133	49	7	1	0	0	0	2098	151762652
leech_0.02_1x_1.hist	148543030	1432248	181277	77090	43073	26952	37493	18420	7252	3697	2906	3283	4563	7534	7865	2501	1441	599	94	55	102	167	794	1544	2378	1320	297	94	30	14	3	0	0	0	2762	599	171	92	17	0	0	0	0	0	0	0	0	0	0	2826	154319379
leech_0.0_4x_1.hist	141422587	1948545	402066	148341	80663	49665	27675	24720	28200	14381	8590	9706	12803	7076	3661	2509	3979	5311	3588	1952	1304	2134	4023	1176	81	259	616	1641	1998	998	294	86	56	5	1345	1032	295	160	31	0	476	846	448	167	26	7	2	0	0	1812	151459899
leech_0.002_4x_1.hist	141954680	1841228	356510	138945	66892	42244	43755	32897	12952	12819	14952	12297	4720	3901	4840	7003	4075	1697	1221	3004	4611	1440	623	464	991	3172	954	306	101	49	935	1869	1109	126	39	1	0	131	1329	72	23	717	379	141	22	6	1	0	0	1809	151350456
leech_0.002_2x_1.hist	142950612	1717784	331374	134737	63625	39495	32204	28766	27113	13826	7387	8346	11603	6413	3317	2173	3445	4599	4501	2449	1588	495	719	1397	2985	3333	751	241	79	38	10	2	100	300	3959	246	69	37	6	0	0	0	0	0	995	330	147	48	15	1566	151763150
leech_0.01_2x_1.hist	145204720	1542228	254255	106212	54910	32604	14420	12880	19455	21791	10550	5202	1996	2477	3073	4446	7051	3796	603	327	211	267	1267	2464	1988	1103	248	78	25	11	2	0	3072	353	111	5	0	0	0	0	994	536	283	105	16	4	1	0	0	2111	152509346
leech_0.008_8x_1.hist	143582907	1627065	313344	119406	60562	37705	26284	23478	17680	9695	11308	5576	6340	6453	3338	2605	4131	3570	566	1394	2633	1618	700	819	978	1693	381	121	108	1512	702	207	82	8	1557	96	26	13	699	552	183	74	38	13	640	259	115	37	395	563	151635153
leech_0.02_2x_1.hist	147494327	1343415	199948	84200	44619	26998	15908	7815	8092	9256	10796	7893	3029	1673	1442	2086	3308	4415	841	456	295	91	198	384	819	2622	591	189	62	30	7	1	728	1336	424	25	6	2	0	973	323	131	68	24	3	0	0	0	0	1922	153145731
leech_0.004_8x_1.hist	142339558	1769044	354357	132318	70342	43106	34057	30422	12918	14778	12949	6385	5913	7680	3973	3153	5000	3980	711	1750	3306	2170	939	659	1407	1785	402	128	284	1772	524	154	312	937	297	17	250	1301	259	13	3	0	327	832	137	44	19	5	0	1380	151356909
leech_0.006_8x_1.hist	142876322	1725217	329347	125378	63419	39629	25051	22377	19185	11230	12743	6283	4565	7538	3899	4363	3592	1495	2028	2977	1930	602	1215	2361	255	491	1169	1168	388	193	563	1126	486	55	16	1111	318	172	33	421	395	161	84	392	489	162	71	22	6	844	151495200
leech_0.006_2x_1.hist	144110535	1624998	297360	122483	60490	36190	16920	15113	22828	25890	12534	6180	2372	2711	3363	4866	7718	3847	611	331	342	559	2655	5163	302	167	36	10	2	0	950	1900	1811	208	65	3	0	0	235	1142	379	154	81	29	3	0	0	0	0	2512	152197453
