sample	club-moss_0.001_1x_17	club-moss_0.001_1x_20	club-moss_0.001_1x_23	club-moss_0.001_1x_25	club-moss_0.001_1x_30	club-moss_0.001_1x_HiSeq2500L150R	club-moss_0.001_1x_MiSeqv3L250R	club-moss_0.001_1x_novaseq_profR	club-moss_0.001_2x_17	club-moss_0.001_2x_20	club-moss_0.001_2x_23	club-moss_0.001_2x_25	club-moss_0.001_2x_30	club-moss_0.001_2x_HiSeq2500L150R	club-moss_0.001_2x_MiSeqv3L250R	club-moss_0.001_2x_novaseq_profR	club-moss_0.001_4x_17	club-moss_0.001_4x_20	club-moss_0.001_4x_23	club-moss_0.001_4x_25	club-moss_0.001_4x_30	club-moss_0.001_4x_HiSeq2500L150R	club-moss_0.001_4x_MiSeqv3L250R	club-moss_0.001_4x_novaseq_profR	club-moss_0.001_8x_17	club-moss_0.001_8x_20	club-moss_0.001_8x_23	club-moss_0.001_8x_25	club-moss_0.001_8x_30	club-moss_0.001_8x_HiSeq2500L150R	club-moss_0.001_8x_MiSeqv3L250R	club-moss_0.001_8x_novaseq_profR	club-moss_0.01_1x_17	club-moss_0.01_1x_20	club-moss_0.01_1x_23	club-moss_0.01_1x_25	club-moss_0.01_1x_30	club-moss_0.01_1x_HiSeq2500L150R	club-moss_0.01_1x_MiSeqv3L250R	club-moss_0.01_1x_novaseq_profR	club-moss_0.01_2x_17	club-moss_0.01_2x_20	club-moss_0.01_2x_23	club-moss_0.01_2x_25	club-moss_0.01_2x_30	club-moss_0.01_2x_HiSeq2500L150R	club-moss_0.01_2x_MiSeqv3L250R	club-moss_0.01_2x_novaseq_profR	club-moss_0.01_4x_17	club-moss_0.01_4x_20	club-moss_0.01_4x_23	club-moss_0.01_4x_25	club-moss_0.01_4x_30	club-moss_0.01_4x_HiSeq2500L150R	club-moss_0.01_4x_MiSeqv3L250R	club-moss_0.01_4x_novaseq_profR	club-moss_0.01_8x_17	club-moss_0.01_8x_20	club-moss_0.01_8x_23	club-moss_0.01_8x_25	club-moss_0.01_8x_30	club-moss_0.01_8x_HiSeq2500L150R	club-moss_0.01_8x_MiSeqv3L250R	club-moss_0.01_8x_novaseq_profR	club-moss_0.0_1x_17	club-moss_0.0_1x_20	club-moss_0.0_1x_23	club-moss_0.0_1x_25	club-moss_0.0_1x_30	club-moss_0.0_1x_HiSeq2500L150R	club-moss_0.0_1x_MiSeqv3L250R	club-moss_0.0_1x_novaseq_profR	club-moss_0.0_2x_17	club-moss_0.0_2x_20	club-moss_0.0_2x_23	club-moss_0.0_2x_25	club-moss_0.0_2x_30	club-moss_0.0_2x_HiSeq2500L150R	club-moss_0.0_2x_MiSeqv3L250R	club-moss_0.0_2x_novaseq_profR	club-moss_0.0_4x_17	club-moss_0.0_4x_20	club-moss_0.0_4x_23	club-moss_0.0_4x_25	club-moss_0.0_4x_30	club-moss_0.0_4x_HiSeq2500L150R	club-moss_0.0_4x_MiSeqv3L250R	club-moss_0.0_4x_novaseq_profR	club-moss_0.0_8x_17	club-moss_0.0_8x_20	club-moss_0.0_8x_23	club-moss_0.0_8x_25	club-moss_0.0_8x_30	club-moss_0.0_8x_HiSeq2500L150R	club-moss_0.0_8x_MiSeqv3L250R	club-moss_0.0_8x_novaseq_profR
club-moss_0.001_1x_17	0.0	0	0	0.00028035873992715565	0.000830741434598159	0	0	0.00016423987694458297	0	0	0.00010850924186478483	0.0006497681061982119	0.0016098683820978676	0	0	0.0009167602806227082	0	0	0	5.708301536122562e-06	0.0015199133512369123	0	0.00047828059049792593	0.0004950688348123178	0.035207745084073316	0.0027778954448329785	0.002758660983788519	0.002835179016485223	0.003118638037306609	0.03192832430762982	0.0014502053990466113	0.0028942439431058897	0.006685846623531777	0.0074237668137867585	0.007966520614279271	0.008569076397968889	0.009002667615948812	0.006913328420356968	0.007733930343294504	0.008818700717877048	0.00796678622621283	0.008842867114369546	0.009646189492679813	0.01003453813142674	0.010897808934054898	0.008023020098376743	0.009298040652632844	0.010214665197134543	0.008703418443211763	0.008868870877126733	0.009863958587045585	0.010507870135600395	0.011451390780813142	0.008869383945001252	0.008973242939202541	0.010649543029332187	0.00960982561702195	0.01204832259414601	0.01217189086265058	0.012254542821353409	0.012398846267983932	0.010029800173466885	0.011846048011521337	0.012286363893605157	0	0	0.0007273948775670114	0.0008599138488309954	0.0015644013062396933	0	0.0004911620315773968	0.00111820112888672	0	0.00019888216976637896	0.000946401396685892	0.0013350650911555517	0.0022753894159837085	0	0.00033246999529534804	0.001731352262218766	0	0	0	0.0005833616584725032	0.0023408421606774255	1.4865443818457003e-05	0.0013208622465821218	0.001094125693485326	0.035892797824492395	0.002324088197417362	0.0035056658317985656	0.003681380927682887	0.004063270218468085	0.0325255705590739	0.0020994488480943208	0.0037086025455286276
club-moss_0.001_1x_20	0	0.0	0	0	0	0	0	0	0	0	0	0	8.079313249220732e-05	0	0	0	0	0	0	0	0	0	0	0	0.03780856766189988	0.0016040255858960073	0.0013001738359124104	0.0012524622235663418	0.0012809572414100856	0.034160457705079916	0.00014082362152534333	0.0012297202627682413	0.007021051748128393	0.00746333705292912	0.007866974803593219	0.008260322009912224	0.008504106349222496	0.0072433981844926	0.00779700388111515	0.008502188547928169	0.008538628455262764	0.008602752381720369	0.009001930648690037	0.009312694342494043	0.009786330072145799	0.008426193536103632	0.008950560863759893	0.00951435614350693	0.00917373451068082	0.008722500377425169	0.00925158206443133	0.00959651703265818	0.010389122765694037	0.00884542836900759	0.00886474448765584	0.009858732251725288	0.009031245139455524	0.011290781536857697	0.011178195837821203	0.011227582110445167	0.011220144163303747	0.00940220087564092	0.010988487809817649	0.0111796134957316	0	0	0	0.00015915709924496646	0.0005276533900173686	0	0	0.00010684990175080511	0.00011896631340335695	0	0	0.00016176763751329926	0.0008254268950479426	0	0	0.0003805255838410515	0	0	0	0	0.0006680815068210721	0	0	0	0.03868873075004842	0.0009946974077347237	0.00210011701968682	0.0020462566315667674	0.0021649564085954864	0.03478545622276363	0.0008574427818104358	0.0020517448745304145
club-moss_0.001_1x_23	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03964043487798152	0.0013912086884170227	0.00082711022420634	0.0006769664939860753	0.0005415447167185228	0.03565085441519944	0	0.0006430897334821495	0.007986408105606135	0.007739178924721757	0.007994868789902299	0.008244777955145444	0.008481333358535181	0.007814860233825827	0.007896474509040408	0.008221479946634247	0.009153734236763689	0.008906038644954095	0.008946812139767779	0.00921535020943709	0.009572836237786708	0.008816238129061849	0.009019570158412926	0.00941364920116372	0.009647675695999669	0.00900940588340371	0.009296109844748601	0.009536114606669477	0.010081868246815895	0.00932321260540514	0.008915392906063357	0.009675431231076392	0.009065949613548785	0.011220752276745904	0.01101593924101929	0.01095929020181019	0.010882418936057459	0.0094129067638965	0.010874515685452946	0.010912295758545687	0.0005417442736915801	0	0	1.7462641919041566e-05	7.077570866564908e-05	0.00017593272115068448	0	8.744807556304579e-06	0.00027948230295971044	0	0	0	0.0002875200663532418	0.00022208646506693963	0	3.031135371267535e-05	0	0	0	0	0.00011662993780914288	0	0	0	0.040563997982475675	0.0006941356164820167	0.0016941026298070705	0.001513502323582383	0.001407208060201004	0.03648761841935899	0.0006306594686004141	0.0014650001433084148
club-moss_0.001_1x_25	0.00028035873992715565	0	0	0.0	0	0	0	0	7.401754690528062e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04060997128137256	0.0014580871364587855	0.0007726651384396543	0.0004890500754185512	0.0003088445185964739	0.03671366942449095	0	0.0004461945629651298	0.008547549964910361	0.008249065812777512	0.008456825230593434	0.008441063896914125	0.008606466875188623	0.008327062101016969	0.008084911619693935	0.008587368057025424	0.009636308619027312	0.009150959950546267	0.009362722109975019	0.009608959181742316	0.009817901995133549	0.009163427891662801	0.009308220260533129	0.009585555706720927	0.010253564687784489	0.009341501639551608	0.00944657341482058	0.009659933222885941	0.010313377009766755	0.009666415857136346	0.009231887519825399	0.009867991829765943	0.009451907301969209	0.01157357987881924	0.01119477017387438	0.011111592611417143	0.011028377192782046	0.009745981280206872	0.011076681899593765	0.01110433067506078	0.0011257815591416698	5.782050783609272e-06	0	0	4.7308343313123835e-05	0.0004700850103175336	8.482229667017283e-05	1.0433182761171444e-05	0.0009541779310198173	0	0	0	0.00019970977071326335	0.00043756332079891713	0	0	0	0	0	0	3.436899158792972e-05	0	0	0	0.04167161737980596	0.0006725773017296488	0.0016464379248706251	0.0013936939628285128	0.0011800786606663838	0.03747919910744779	0.0006063470334712884	0.0013436902967490783
club-moss_0.001_1x_30	0.000830741434598159	0	0	0	0.0	0.00021365648579274588	0	0	0.00033128722968989166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04175438921351815	0.0015644140016460861	0.0007652881075494999	0.00044398479210039365	0.0001156287273534895	0.03760359505016719	0	0.0003871137172589689	0.00925545092053448	0.008572848217274665	0.008655352138493333	0.008649335246312617	0.00877629863488405	0.008892005299157124	0.008568951894463495	0.008710485531997492	0.010179970584557108	0.009515854449785865	0.009509068319928371	0.009615178199280927	0.009936755463926361	0.009667269830905156	0.009627326407391501	0.009769764263228287	0.010369692323338953	0.0095057738674168	0.009687826765105378	0.009893193685639123	0.010361808280665241	0.01000649088495742	0.009417639282041201	0.010042775194419984	0.009676906618034442	0.011676238438330766	0.01130438628629582	0.01114969079436845	0.010994195049387367	0.009993210449700807	0.01127683357351339	0.011092398939603565	0.0018725635726241086	0.0003781798053413832	0.0002694007067152171	0.00018057752375155722	0.0001439570517483002	0.0009759491541073695	0.00028747906066162177	0.00013033377028659476	0.0012705413692452039	0.0002832176484793836	5.989501578773648e-05	0	0.00023228564836075272	0.0007518913875780298	2.879463171179264e-05	7.507508426962684e-05	0	0	0	0	0	0	0	0	0.04262381856767972	0.0008303244450516001	0.0016361939875774167	0.0013351316672035596	0.001007878876099988	0.03847437045123825	0.0006509135276426825	0.0012929260823901778
club-moss_0.001_1x_HiSeq2500L150R	0	0	0	0	0.00021365648579274588	0.0	0	0	0	0	0	3.105298818217861e-05	0.0008151778390333986	0	0	0.0001796269633645986	0	0	0	0	0.0007278885262336221	0	0	0	0.03648020699070753	0.0021312279941292367	0.001959385469175401	0.0019910875996163035	0.002179856465587604	0.03185576016334202	0.0006775286246548662	0.002029716325490427	0.006751001534923251	0.007158278546694374	0.00807487018901365	0.00821772556985878	0.008683643638388583	0.007013827014287544	0.007641023532635183	0.008490226673996237	0.007992595382420697	0.008529097418374265	0.00930474236326162	0.009553153388856539	0.010162644885280181	0.00819292928579074	0.008954315017404735	0.009840550584665375	0.009430299237453532	0.008897998297744514	0.009469040111493077	0.009905130466760781	0.010906943734985908	0.009143193393077897	0.009003675608276418	0.010156952603092684	0.009156265510742556	0.011553121018446744	0.01162524578174362	0.011686796244167352	0.011785122094329692	0.00954070498700399	0.011344023617888888	0.011702621742358255	0	0	0.00010458236682575617	0.0004923504345711871	0.0010596995536377163	0	0.00011211773880570597	0.00042439871182509137	0	0	0.00041811643016353983	0.0006721495423063217	0.001507724943684896	0	0	0.0009897265385815368	0	0	0	0	0.0014658255128673359	0	0.0005117379528640775	0.00037264091198585536	0.03742005435143425	0.001471613138559924	0.002774586156160219	0.002814735390227918	0.0030791987270413212	0.03366753687322732	0.001416092717062556	0.002882646160767277
club-moss_0.001_1x_MiSeqv3L250R	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03822942099093918	0.0017737086360555265	0.0014149053400949185	0.0012516842210102963	0.0012264924955863732	0.03443540562023362	5.9925649869341235e-05	0.0012414918037292333	0.007714478408761272	0.007438590218083352	0.008075593450846852	0.008120458087325422	0.008670989075419966	0.007421804442638291	0.00797075439819872	0.008448323122967616	0.008744137090738291	0.009039504108772412	0.009267974631453568	0.009452131703963085	0.00997823225985528	0.008548735352284842	0.00896893885557637	0.009669110235569156	0.009559791017797248	0.009138936071921178	0.009528353097714048	0.009846537796929122	0.010518609667012013	0.009375244140083838	0.009067045797370388	0.009996156160438585	0.00935245734939727	0.011503323099094298	0.011414599809185466	0.011385857171767433	0.011382619271280925	0.009699833321204165	0.011162130199631859	0.011355540052366386	0.0003815488898968322	0	0	0.00015636191321855009	0.00019841527760200428	4.4288653317958726e-05	0	0.00016279278327335778	0.0001666810037660449	0	8.905789401236763e-05	0.00017816075673438014	0.0007270771624940942	0	0	0.00038421233419982936	0	0	0	0	0.0007213018880662947	0	0	0	0.039087608922918515	0.0011026213284228703	0.0022202999679848956	0.0020919183198734315	0.002110710543803407	0.035148331811156064	0.0008779249972874492	0.0021258499445924173
club-moss_0.001_1x_novaseq_profR	0.00016423987694458297	0	0	0	0	0	0	0.0	7.240838367905678e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041093664183123324	0.0014461827621672363	0.00074155468278847	0.000454326798558502	0.00022962044309127183	0.0369177385141487	0	0.00040089141778476556	0.00866462608768881	0.008312813761610194	0.008400416866241711	0.008525885239664355	0.008461729476139102	0.008381557358455582	0.008079345452523645	0.008610293002961011	0.009727600417008264	0.009217215143768498	0.009231988077379572	0.009434752992828699	0.009703948744814395	0.009295561249579642	0.009352016318532663	0.009540521076235153	0.010110292016554112	0.009187664108429971	0.009349396835767854	0.00964820915480824	0.01026300066710728	0.009690970528884013	0.009094305898418087	0.009828963679427982	0.009378540167098715	0.011436432459470125	0.011080916209632363	0.010970836640439852	0.010882472360538964	0.009733205828676983	0.010998693312058605	0.010976199518057173	0.0012830297610588737	0	0	4.1055528688938026e-06	7.530747465622767e-07	0.0006123043024290897	5.65927600805205e-05	0	0.0008299256161989899	0	0	0	0.00016274570942309552	0.0003798105943053631	0	0	0	0	0	0	0	0	0	0	0.041955060223552554	0.00070059602039374	0.0015878214765535636	0.001300505103824734	0.0010952167460062112	0.037657312251994646	0.0004732548792859559	0.001253173413804487
club-moss_0.001_2x_17	0	0	0	7.401754690528062e-05	0.00033128722968989166	0	0	7.240838367905678e-05	0.0	0	0	0	0.0008837005880613091	0	0	0.00020758152858113554	0	0	0	0	0.000901547158577376	0	0	0	0.027653888707331653	0.0012335703567589729	0.0016134612283276173	0.0018882768878221157	0.0023187837708006365	0.02461969606168002	0.0001813501076242119	0.001963387555956042	0.006797359166134664	0.007116416763489286	0.007945082292192596	0.007991838021167985	0.008581829197346624	0.006879680211817285	0.007598170499438672	0.008361757822227478	0.007026115054662108	0.007714649402049245	0.008470582196193788	0.009058077630398231	0.009782898566978782	0.0070755050205769665	0.008169795791313939	0.009490440690599122	0.007809015605655056	0.007987484825221602	0.008710957269196906	0.009317401657493507	0.010311322472751794	0.007738241074870755	0.008146506777435114	0.009468024533150321	0.007253277863390917	0.010456994276573983	0.010912681094089494	0.011114030869776248	0.01135558190886965	0.007770022618541206	0.010394578840189572	0.011102671251393303	0.00013485888845121696	2.6930031263416865e-05	0.0006387379015624362	0.0009794194806881373	0.0012143553680300512	8.521825356200274e-05	0.0007444307079924606	0.0008597970276364997	0	0	0.0004807358435470199	0.0007343694046477722	0.001723479288602059	0	0	0.0010762953258143249	0	0	0	6.249373113020873e-05	0.001793963021686551	0	0.00016760292420492373	0.000656618457489655	0.02855429197767345	0.001093750985612929	0.0025303290666662814	0.0028109113054275436	0.0033399831192497675	0.025406057221208256	0.0010155230257201664	0.0028897092358247667
club-moss_0.001_2x_20	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03080301126516727	0.0002505068263563004	0.00035590628110282463	0.0004678855991326891	0.0006711660556532051	0.02739977062693033	0	0.00046934627100647663	0.007662945878025518	0.007300933238538421	0.00784788778526646	0.007955470349422455	0.008270118534741355	0.007444112825651383	0.007802990425254119	0.008144045438015612	0.007827766493024746	0.008209899103333362	0.008590970114540908	0.008789141867009742	0.009264274095584946	0.007872975541296401	0.008411451535064063	0.009021159963106928	0.008413138426099032	0.008089644513167404	0.008607502755630825	0.009183300128767669	0.009843714867017406	0.008260323263358682	0.008401332666681083	0.009343248922852099	0.007170540040205675	0.010241987168059907	0.010399079550968082	0.010525397719389762	0.010607244799470172	0.007662542665716754	0.010043038525463288	0.010520012475064955	0.0008976804467479838	0	0.00018601683274199754	0.0001735306302930173	0.00039320776839080196	0.00014569513471685003	0.0003582145426239691	0.00021292738741307549	0	0	0	0	0.0005784892714216783	0	0	0.00018774068576554725	0	0	0	0	0.0004534942573753975	0	0	0	0.03160667007493745	0.00022286502106128037	0.0013332678635070705	0.0014734381845695754	0.0017842811009758375	0.028285274121691018	7.055320593241099e-05	0.001511170849848753
