sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
oyster_0.0_8x_1.hist	63017150	6058908	1348987	519961	262674	164099	134219	119895	97739	57387	60769	58158	22327	28409	35248	15492	11426	14301	20830	11339	7354	3517	16705	5192	1436	4596	10938	4076	1357	677	6015	7241	2895	333	104	3801	5531	3015	602	32	9	2495	5443	2040	339	112	49	15	171	6691
oyster_0.008_2x_1.hist	71417551	5597394	1042390	428726	210676	129658	117845	85187	75127	81043	39238	19350	13390	22108	27430	24328	14023	5842	1475	3631	6858	11226	16745	4898	287	158	34	10	626	8767	11059	3285	1313	150	46	1	0	0	1655	6608	2201	901	477	178	28	8	2	0	0	7240
oyster_0.0_2x_1.hist	62013601	7879711	1433799	597725	307003	183552	98539	88023	132959	121559	58855	29025	15333	25317	31411	45453	27223	11342	1835	4516	8529	13963	24409	7141	419	231	51	15	18785	9391	2781	825	329	36	10	0	0	18236	4373	241	79	31	15	4	0	0	0	0	0	15302
oyster_0.02_8x_1.hist	81214019	3404529	729931	278285	141752	87535	90060	57005	34930	37664	18235	19757	16414	9072	8441	12213	7039	2953	6215	6060	3930	1769	5978	1748	1302	4167	940	1431	3057	1527	451	133	2156	1945	617	37	9	2331	465	24	7	1433	759	283	46	14	232	1493	496	297
oyster_0.001_1x_1.hist	58502496	15414728	1925965	817639	453851	282939	317366	155926	61394	45117	52627	59467	82677	60130	31114	9899	5705	4717	9929	24440	46165	25750	11157	3263	190	105	22	6	1	0	7490	14979	27390	3158	1004	61	16	8	0	0	0	0	0	0	0	0	0	0	0	30627
oyster_0.004_1x_1.hist	68028878	6040008	1205104	494433	240955	146927	104586	93424	141118	71969	34844	17183	20619	34044	42239	20236	11664	4859	1356	3338	6304	10320	31899	9333	548	303	67	20	5	1	0	0	12019	16388	5213	324	92	49	8	0	0	0	0	0	0	0	0	0	0	18106
oyster_0.001_4x_1.hist	63881146	6444325	1317760	537379	256398	160673	167841	149929	70669	50925	59402	67123	26315	16823	20872	30202	24337	10139	3721	9158	17298	15289	6624	1937	1076	3444	8196	9916	3304	1651	488	144	11267	5195	1652	102	28	14	1	8149	3776	1546	819	306	50	15	6	1	0	9018
oyster_0.002_8x_1.hist	65634586	5799708	1276612	493452	246825	154847	134351	120013	66948	76588	55522	30075	41813	28458	14725	16693	26477	11031	5979	14717	13404	4187	5486	10668	1171	3748	7974	2567	854	7480	3543	1051	2202	6605	2100	130	2824	1539	1490	3703	1233	504	266	2858	2139	712	318	105	34	5820
oyster_0.01_4x_1.hist	73329430	5120038	992107	404028	191860	121106	137474	90248	41692	47695	55634	27757	10655	16317	20245	20514	11824	4926	3096	7621	14394	4497	1947	1103	2357	7542	7274	2341	779	388	800	1599	10284	1185	376	22	5	1	0	5725	1907	780	413	154	24	7	415	3301	1099	658
oyster_0.002_1x_1.hist	65210431	6465788	1234571	512529	259753	156410	102762	91795	138657	95144	46065	22717	14252	23532	29196	42247	24353	10146	1613	1331	2514	4115	19547	27024	1588	881	198	62	19	8	1	0	18079	13752	4374	272	77	41	7	0	0	0	0	0	0	0	0	0	0	19712
oyster_0.006_2x_1.hist	69386107	5754311	1083251	448841	226046	135763	82402	73608	111185	89335	43253	21330	12570	20755	25751	29007	16720	6966	1655	4074	7695	12597	8828	11274	662	366	81	25	1131	15833	4690	1392	556	63	19	0	646	12240	2447	134	43	17	8	2	0	0	0	0	0	10698
oyster_0.02_2x_1.hist	80792898	4039675	693381	288413	147092	87535	45838	40945	61847	51531	24949	12303	4774	7882	9778	14149	16192	6746	1072	611	1153	1887	8964	8007	470	260	57	17	346	4847	4508	1338	534	60	18	0	0	0	5230	294	97	38	19	6	0	0	0	0	0	4811
oyster_0.002_4x_1.hist	65124634	6279644	1287326	520547	247642	156533	184166	118724	57890	66225	77249	38096	18006	29729	36886	14852	8560	10130	21327	11610	7530	2352	7958	15473	3961	2199	495	158	10911	8585	2542	754	300	33	374	10897	3132	1707	340	17	4	1131	5583	2092	347	114	50	15	4	7666
