sample	moss_0.001_1x_1	moss_0.001_2x_1	moss_0.001_4x_1	moss_0.001_8x_1	moss_0.002_1x_1	moss_0.002_2x_1	moss_0.002_4x_1	moss_0.002_8x_1	moss_0.004_1x_1	moss_0.004_2x_1	moss_0.004_4x_1	moss_0.004_8x_1	moss_0.006_1x_1	moss_0.006_2x_1	moss_0.006_4x_1	moss_0.006_8x_1	moss_0.008_1x_1	moss_0.008_2x_1	moss_0.008_4x_1	moss_0.008_8x_1	moss_0.01_1x_1	moss_0.01_2x_1	moss_0.01_4x_1	moss_0.01_8x_1	moss_0.02_1x_1	moss_0.02_2x_1	moss_0.02_4x_1	moss_0.02_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1
moss_0.001_1x_1	0.0	0.0	0.0	0.0	0.0018596904021385783	0.002067136216580785	0.0014454338592162876	0.0016410414598512148	0.003999220184847193	0.0039891651315445064	0.003151097589613159	0.0032869285955548005	0.006247287972079105	0.005725998337273094	0.005004645251400812	0.005021794785055275	0.008351135376172174	0.007530133413262136	0.00674984218375486	0.006562212876943873	0.010463831207636064	0.009474593599506533	0.008617631654700728	0.008627185917743238	0.018690739753995853	0.018066662178549988	0.016989938070769574	0.016989066553188367	0.0	0.0	0.0	0.0
moss_0.001_2x_1	0.0	0.0	0.0	0.0	0.0021099923772743526	0.0019209744877400276	0.0013713011159192706	0.0016995037987029094	0.004108946377660901	0.00384582471848015	0.003017568191031059	0.0032924911952418113	0.0063233135737894	0.005596385533299395	0.004862292227005772	0.005087086113697093	0.0084788543736562	0.007404035280870849	0.0066848581463645395	0.006765236388373907	0.010479965734296666	0.009354906731816742	0.00850267192949192	0.008621659114909874	0.019011368029109448	0.018359525272085047	0.01723928548851678	0.017492677686964636	0.0	0.0	0.0	0.0
moss_0.001_4x_1	0.0	0.0	0.0	0.0	0.001560979010764802	0.0014018434580290973	0.0009813510950542961	0.0018932270883489071	0.0036524026965319293	0.0032887557734133928	0.002675954064998089	0.0034675168787427647	0.005697709216453126	0.005021275395342206	0.004541429486153677	0.0052722537738810445	0.008107216648598307	0.0070450360534929325	0.006471398949768723	0.007036432598364744	0.010022781565756374	0.008979231763261986	0.008249521162514399	0.009027679165041809	0.018753537222813317	0.01801218152938199	0.017193227125834428	0.017923546782748708	0.0	0.0	0.0	0.0
moss_0.001_8x_1	0.0	0.0	0.0	0.0	0.0018503127452663183	0.0017548005660855404	0.0019087322873504353	0.0038546196441980067	0.003763223918652385	0.003634541056131616	0.003536380210012699	0.005454002233305742	0.005796269193205192	0.00536352943948185	0.00529401859577767	0.007275232148399835	0.008367514177337807	0.0073220474540986215	0.00716657663919035	0.008830842220493691	0.010424205148688434	0.00914621462802962	0.009037372718088792	0.010814631915943868	0.019145109973169178	0.018509962801008188	0.018044579823293005	0.01957396100679123	0.0	0.0	0.0	0.0021992219022656362
moss_0.002_1x_1	0.0018570525649884055	0.002174891741339228	0.0015968163928920256	0.0018257794298878732	0.0	0.0	0.0	0.0	0.004920377640305226	0.005013839951022768	0.004192191585208431	0.004254560286870687	0.007066197069086328	0.0066043969196126415	0.005879042884917104	0.005940199304152348	0.00916650852432512	0.00841944834188924	0.0076332706511910535	0.007382987773437019	0.01087796552568793	0.010187022640994399	0.009281543167925947	0.009275599519462122	0.0194611776671297	0.019104033202069267	0.018162218670714787	0.017935648368733525	0.0009971110838962929	0.0006622477297280503	0.0007258600019751564	0.0009853898862310197
moss_0.002_2x_1	0.002000921525600636	0.001919266893137189	0.0013920491539472003	0.0016842654663145383	0.0	0.0	0.0	0.0	0.0050208202437440515	0.0048328609223041155	0.003899639644227441	0.004248303712434047	0.007089041545632197	0.006528829153231565	0.005661909715338418	0.005989269565500272	0.009461694095047683	0.008445451778499036	0.00769191316877007	0.007603317778305696	0.01124220064507733	0.010269195005748254	0.009306176127226238	0.009452292981416607	0.019678569550308833	0.019019910686334598	0.018134801859947716	0.018098864947720318	0.0009246155403557498	0.0005763962916800152	0.0004110444004951718	0.0009284268202608506
moss_0.002_4x_1	0.0014095492262125653	0.0013781999659124215	0.0009803094989941953	0.0018498397453933797	0.0	0.0	0.0	0.0	0.0044333984712708625	0.00420137690108527	0.0035421628428757403	0.004323780093132202	0.006548956410601663	0.005956771905561813	0.005341690435981728	0.006253715959587004	0.00897803543123536	0.007788550460323914	0.007250250031328867	0.007808387048857437	0.010983821005439253	0.009754313287648012	0.00894739947918423	0.009728893892775457	0.019599314657017575	0.018787177731893895	0.018034116168206892	0.018543408862928466	0.0	0.0	0.0	0.001053970675073447
moss_0.002_8x_1	0.0016595819780541455	0.001767688179713814	0.0019501210224086032	0.0038526264673664624	0.0	0.0	0.0	0.0	0.00471189362012758	0.004523246871125821	0.004401579287126262	0.006364566960914747	0.006636089500356024	0.006263148505181287	0.006193634982392563	0.00802252582129457	0.009132555429640317	0.008198893467885543	0.008194145803823393	0.009747996557125835	0.01130902926288421	0.010064006316642997	0.009941673686749366	0.011678346032979228	0.019930716586102216	0.019221938771631433	0.018902873800681754	0.020436619329100174	0.0005094699789398115	0.0	0.0010448979077089507	0.0031432822658096398
moss_0.004_1x_1	0.0039864403277734516	0.004228345616774228	0.0037316504474512306	0.003709784050752035	0.004911590967359152	0.005171429544419029	0.004535356621532024	0.004650374817189904	0.0	0.0	0.0	0.0	0.009066800662526226	0.008679091875205302	0.007994873443990958	0.007889368848080358	0.011130829350907673	0.010330411365832135	0.009595546338856814	0.009294360931182312	0.01289960597340523	0.012285622480888119	0.011496911848557242	0.011406272293600403	0.020845006784140616	0.020330160941709658	0.019567066877282477	0.0194534821709616	0.002884500033372428	0.002840184267331816	0.002782888630009202	0.0030145007780884464
moss_0.004_2x_1	0.0038557125058622374	0.0038370778179497842	0.003262148285979923	0.003485448587788872	0.00485263576466556	0.004826151567207105	0.004172509584729493	0.004342083762064313	0.0	0.0	0.0	0.0	0.00881475060431069	0.00831871791756195	0.007559409188348914	0.007700857670971743	0.011166289733275993	0.010203251600326925	0.009447200465289261	0.009328125124812198	0.01281219012976258	0.012051631461828782	0.011133779050197603	0.011187057108323158	0.02121125451651446	0.020653975471755164	0.019647029174447064	0.019654251519912572	0.002787197490433003	0.002445905868128943	0.0024109885081712193	0.0028005699841800553
