sample	rotifer_0.001_1x_1	rotifer_0.001_2x_1	rotifer_0.001_4x_1	rotifer_0.001_8x_1	rotifer_0.002_1x_1	rotifer_0.002_2x_1	rotifer_0.002_4x_1	rotifer_0.002_8x_1	rotifer_0.004_1x_1	rotifer_0.004_2x_1	rotifer_0.004_4x_1	rotifer_0.004_8x_1	rotifer_0.006_1x_1	rotifer_0.006_2x_1	rotifer_0.006_4x_1	rotifer_0.006_8x_1	rotifer_0.008_1x_1	rotifer_0.008_2x_1	rotifer_0.008_4x_1	rotifer_0.008_8x_1	rotifer_0.01_1x_1	rotifer_0.01_2x_1	rotifer_0.01_4x_1	rotifer_0.01_8x_1	rotifer_0.02_1x_1	rotifer_0.02_2x_1	rotifer_0.02_4x_1	rotifer_0.02_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1
rotifer_0.001_1x_1	0.0	0.0	0.0	0.0	0.002958576323895134	0.0030101005454496454	0.002938323878743172	0.0029820544049833937	0.004956541656387278	0.004861405640253237	0.004723285791712936	0.004849135337306123	0.006858735489541421	0.00675603674797113	0.006835442721133924	0.006666307547309701	0.008814848638605361	0.008750493694605909	0.008920087194728808	0.008836603113155612	0.010927179084686172	0.010623871842553072	0.010740638201611686	0.010591909493855146	0.020740107609894188	0.020629492119782242	0.020516986246965956	0.020294430658603285	0.0009585509009709646	0.0007579623991137487	0.0009063565866798649	0.0008726974404861738
rotifer_0.001_2x_1	0.0	0.0	0.0	0.0	0.002772758649107076	0.00302593928086959	0.002888656785235255	0.002855989161390716	0.0051392612818156784	0.004943762989251902	0.00477303582072654	0.004839736598221112	0.006879734851344451	0.00692533169966005	0.0067863297572282755	0.0066213674737811016	0.008816683787036561	0.008754166982074329	0.008719704127598378	0.008684545916702134	0.010778957817534835	0.010634938808921785	0.01056406842874333	0.010584053424233249	0.020881736902640387	0.020637709223504174	0.020334835489279345	0.020248270686877012	0.0009314833680511066	0.0008123520908169601	0.0008769992986283827	0.0008291179564461428
rotifer_0.001_4x_1	0.0	0.0	0.0	0.0	0.0026717921363673164	0.0028555535901528574	0.0027246108026427363	0.0027552071658510924	0.005041039028402066	0.0047971304254530054	0.004601455108695929	0.004667882145669643	0.006893926228249738	0.006719247369471471	0.006642788903559508	0.006541732271130388	0.008848645549560753	0.008712252061008972	0.008645677865483576	0.008620666459819341	0.010753867069598926	0.010549246407452193	0.010512417463459744	0.0104905784208523	0.02073360511789997	0.020608593932243756	0.020340379492563586	0.020134250369260653	0.000841032293786635	0.0007159413984926834	0.0007079660457134697	0.000707122202615217
rotifer_0.001_8x_1	0.0	0.0	0.0	0.0	0.0026543640705632694	0.0028917161982949515	0.002829905055305922	0.0029175695833086913	0.005091409733534238	0.0049171312024748545	0.0047344704253869194	0.004824760153170519	0.006920889134098219	0.006732245924644839	0.006703985288762703	0.0066933597285361865	0.008818675612293428	0.008763889001891532	0.008736766536380811	0.008844066977520295	0.010861589398363868	0.010700400160371524	0.010665890684150485	0.010660962079777606	0.020821121401354902	0.02070802303853133	0.020504857177272247	0.020369734375230576	0.0008168103715105977	0.0007511769845018085	0.0007791870457859849	0.0008566554634095629
rotifer_0.002_1x_1	0.002958194040980881	0.0028144239715060387	0.0027220666473921364	0.002686874183005553	0.0	0.0	0.0	0.0	0.0059951932185215145	0.00586432901429344	0.005730955428577576	0.005812710310531957	0.007914283549036312	0.007757898188345835	0.007687124494396575	0.00748838831021085	0.009639446966619968	0.009722701152964145	0.009808367286136424	0.009521524002234046	0.0117061904307284	0.011651654032486016	0.011637199302065297	0.01140163080555115	0.021672840295597868	0.021194661755709217	0.02105669570398509	0.02094032785785223	0.0021058482262233972	0.0017869473454296767	0.0018880270247227159	0.0017526292875832813
rotifer_0.002_2x_1	0.002964535683847928	0.003025303220572525	0.0028674946506471164	0.00288585329130802	0.0	0.0	0.0	0.0	0.006224350223943998	0.006197019841877396	0.005919738409593938	0.006011536734934509	0.007994177547076552	0.008069661577032474	0.007894977674838972	0.007672320557621673	0.01001171760963581	0.010074559865746374	0.009959059330182108	0.00989420574631228	0.011937632864855845	0.011723832464248123	0.011621834438331638	0.011663176905303088	0.02207258515088607	0.02180376775899723	0.02143969295111185	0.021321130747918363	0.002194868664203326	0.0020213484685474704	0.002034615968204097	0.0019520116070878798
rotifer_0.002_4x_1	0.0028819810414374915	0.002874332849069602	0.0027230132393543482	0.0028111005629607336	0.0	0.0	0.0	0.0	0.006167836643526278	0.006003934294778989	0.005810062641459137	0.005874880411031328	0.007922084289104629	0.0078497580470057	0.0077620322044641595	0.0077016427101505415	0.00983222410126049	0.00983381059008646	0.009767786656570706	0.009759179590573881	0.011806254734631375	0.01168950861898418	0.01166254911153755	0.011645159900114247	0.021723173441330904	0.021579080805333706	0.02136072772168384	0.02122751273195143	0.0018677905364728466	0.0018053114302346374	0.0018341566284317981	0.0018748980253828129
rotifer_0.002_8x_1	0.002944120803171982	0.002859831051071377	0.0027706987381797017	0.0029162108798817094	0.0	0.0	0.0	0.0	0.00611762680596634	0.005996590165434272	0.005832520024645985	0.00589717167419655	0.007967921088118573	0.0078013713499886506	0.007792061876318807	0.007736965411211322	0.00981906055397296	0.009836522058776241	0.009841377388640687	0.009880129963899293	0.011853729699584068	0.011797356561065184	0.011725099220578012	0.011690825121202699	0.021893039918413362	0.02177562430697774	0.02156977479573009	0.0214508646410598	0.0018161146585572946	0.0018023297322732204	0.0018989542796041938	0.0019316408427673803
rotifer_0.004_1x_1	0.004955739765988069	0.005216518533794082	0.005136368907858505	0.005154728352123254	0.005994993597672866	0.006319290377070618	0.00628839692462113	0.0061971229394500145	0.0	0.0	0.0	0.0	0.009900869091819352	0.010209382976936524	0.010096151601058416	0.009841863312822363	0.011973083991029403	0.012187914962206836	0.012051010512263288	0.01188298055043322	0.01398139788148494	0.013941178495801714	0.014149227417787744	0.014042882979813393	0.023462371121415155	0.02373105227745787	0.023662062204205764	0.023398723505988178	0.004045978760972561	0.004178784185067766	0.0042015873651041315	0.004260951716006108
rotifer_0.004_2x_1	0.00478745984789485	0.004942501385954922	0.004817216071673694	0.0049075493031628835	0.0057757924589612155	0.006196732991167078	0.0060327409338089095	0.0059880906112869964	0.0	0.0	0.0	0.0	0.010051703705326735	0.009918034979956795	0.009844053621506503	0.009755458418660289	0.0118934618369574	0.011941089193676679	0.011864942784645638	0.011807208203215016	0.014023308242800958	0.01370263281254848	0.013774487732968648	0.01375213259465402	0.023785220807630913	0.023676760975989964	0.023404582154650782	0.02333851156753299	0.0038943873716097387	0.003877692644587161	0.003991596498720885	0.003948293454398368
rotifer_0.004_4x_1	0.004632260931550222	0.004749114561711207	0.004598734486979885	0.0047032964459613165	0.005620963361186098	0.005891155045332936	0.005810005759963167	0.00579704252914484	0.0	0.0	0.0	0.0	0.009825160464657475	0.009657815324854208	0.009590314993174967	0.009491258656845102	0.011788858509908127	0.01164757826336058	0.011649918844135047	0.011605624097445833	0.013777249031203448	0.013507559574799351	0.013520796532834686	0.013504927789282861	0.023637609304969564	0.023431173484591866	0.023161854698266416	0.0230189837014705	0.0038148981591357638	0.003734047535764257	0.003744124216530374	0.0037652502538139056
rotifer_0.004_8x_1	0.0047830714199206025	0.004842026508539018	0.004690345052968451	0.004818986660098229	0.005733807021708148	0.006015271720456448	0.005906384522916348	0.005892857201573724	0.0	0.0	0.0	0.0	0.00986625139165588	0.009752860263913813	0.009704196327665223	0.009647447792701328	0.011811381481745686	0.011669126598442622	0.011711676531281124	0.011772323585491845	0.013793794209436322	0.013658145788941792	0.01360647263045341	0.013617086415956941	0.023646414895930987	0.02357297014841254	0.02333966111191844	0.023249986920338132	0.003784916333360598	0.0038246571214328984	0.003862396293822599	0.0038227852716999117
rotifer_0.006_1x_1	0.006857527262537857	0.006983167506210943	0.007024697332344977	0.007007776512467576	0.007913900888593433	0.008116070557250518	0.008077247691818551	0.00807227430182226	0.009900719079890562	0.010205431224273174	0.010018081601981008	0.010003826682137985	0.0	0.0	0.0	0.0	0.013616083987995815	0.013723475387481605	0.013784185700450658	0.013703758756991787	0.0157886206445004	0.01545495426361822	0.015698621062912872	0.015640787876568227	0.02563485922821677	0.025649016339144567	0.025317989072804116	0.025290509915108696	0.006065521333780525	0.005915371534984892	0.006115229769402486	0.006053224359303243
rotifer_0.006_2x_1	0.006653212711493013	0.006923632393539911	0.006747702923194106	0.006719817050439462	0.007640744001901122	0.008069354778473349	0.007887704454402787	0.00779101627899213	0.010055528075151178	0.009918112819049951	0.009704781693663093	0.009747852994078664	0.0	0.0	0.0	0.0	0.013687839209619133	0.013756529414832191	0.01367578935742425	0.013662831112155974	0.015691668049999996	0.015495454361048452	0.015441770109551011	0.015522216163164293	0.02540736287110389	0.02534371252472487	0.02506510129478735	0.02511878536298063	0.0059500144629726585	0.005752485134241454	0.005919273876889632	0.005759550635313459
rotifer_0.006_4x_1	0.006703325153521836	0.0067522254102051925	0.00663903390699959	0.006660415109910546	0.0075392704363987425	0.007856789279720678	0.00776211977096008	0.007745270722864768	0.009901780359765498	0.009796683963864064	0.009590514958455245	0.009653461715076583	0.0	0.0	0.0	0.0	0.013622873988249018	0.013621156007474251	0.013501200837429927	0.013602038450034654	0.015604938160281476	0.015367696998278014	0.015346530434039458	0.015422075727565206	0.02541158771656434	0.025185741131582576	0.025049137372261693	0.02494709182485448	0.005760236624537391	0.00563349756049787	0.0057571445864333355	0.0057236787460736675
rotifer_0.006_8x_1	0.006574300121431069	0.006623576094077412	0.00657252826931516	0.006685038264415718	0.007385559017519889	0.007676117536166749	0.007742145021551907	0.007730923229393377	0.009705912054198707	0.009760014190835418	0.009540862449035209	0.00964693538691047	0.0	0.0	0.0	0.0	0.013572331896921263	0.01353239510736905	0.013580750454787228	0.013544053084941736	0.015462317051722728	0.015387813349847375	0.015342725680303333	0.015228374595748011	0.025389094590934712	0.025268221366690508	0.02500395376776913	0.024824474964964954	0.005620668456235171	0.005562869109799525	0.005712067580101505	0.005706369352382182
rotifer_0.008_1x_1	0.008813969057067255	0.008949966692365545	0.009017626872179406	0.008930998003485653	0.009639708607102794	0.010165122595789047	0.010025904890671294	0.009949265325037608	0.011973799308751754	0.012076120694911362	0.012021439165057211	0.011977725358402403	0.013617098546317576	0.013897690755726864	0.013891384113737448	0.013764781263516983	0.0	0.0	0.0	0.0	0.017711080360141095	0.017642922767923012	0.01773883948478526	0.017579065272013236	0.027253940495563705	0.027003752559032562	0.026858499134615174	0.026643052386259986	0.007813853769213943	0.007928931942297249	0.008173269077178894	0.007993267754335058
rotifer_0.008_2x_1	0.008617262322082646	0.008752036153918242	0.008749417455671397	0.008748481323697242	0.009575864693828146	0.010074184393211222	0.009881556153405734	0.009824215319273891	0.012004381732792852	0.011941188112217385	0.01170437172125886	0.011663764396100885	0.013517221518943297	0.013756536556580613	0.013687347159047014	0.013527445558183774	0.0	0.0	0.0	0.0	0.017707331075481968	0.017501891286399743	0.017437815394950724	0.01739062375078752	0.027502341012532513	0.02720812451447794	0.02709728082482754	0.026992180404901246	0.007775796083706192	0.007837708402488144	0.00789379781315862	0.007795656985782924
rotifer_0.008_4x_1	0.008747548631638806	0.008676015853627615	0.008641162241610888	0.008680831837574038	0.009619650497351995	0.009911065081119125	0.009768273837915066	0.009783170842262344	0.011819229910020561	0.011808162501396494	0.011650607865782469	0.011651374403028361	0.013519222825671516	0.013610184540491501	0.013501716863304121	0.013511990647587827	0.0	0.0	0.0	0.0	0.01762051155215305	0.017455953955211944	0.017400038039377702	0.017464183403999734	0.02744153403943512	0.027118981301626804	0.026932548255944815	0.026798406355302166	0.0077963297312188765	0.007728584718819078	0.007784356890373706	0.007843622630738971
rotifer_0.008_8x_1	0.008714146922436931	0.008687277199404698	0.008661355546506906	0.008833666616121248	0.00939040640812265	0.009898938061079892	0.00981062073800986	0.009873047458031583	0.011718722222433805	0.011812770511803612	0.011666467105021592	0.011772398547787237	0.013513946319944667	0.013668626669747021	0.01367257376420292	0.01354485121154849	0.0	0.0	0.0	0.0	0.017416213159429875	0.017484756253291888	0.01746174960059521	0.017410415274563953	0.02739991284526866	0.02725223923515503	0.027052721728990294	0.026928976259390676	0.007622545605098473	0.007747996083499911	0.007850918942304849	0.007922104048180858
rotifer_0.01_1x_1	0.010923527513032666	0.01093934688013726	0.010957145454965556	0.010998489410945406	0.011703761062984574	0.01211763726300824	0.012036387886531231	0.012009154394902225	0.013978967292571818	0.014235103624602388	0.014045975022847627	0.013985615249399456	0.015786122576084687	0.015928150606985866	0.015908788186768545	0.01567852449388907	0.01770698309964131	0.017973516230758383	0.017962408307905	0.0176588186674911	0.0	0.0	0.0	0.0	0.02930328903822621	0.02914209663434159	0.029022293770411052	0.028816730480070395	0.010077664821245105	0.009907800624987707	0.010147847595413208	0.010099413919567951
rotifer_0.01_2x_1	0.010462695810290138	0.010632916570556747	0.010594994678238231	0.010682861567454878	0.011476370992714346	0.011724003831099186	0.01174699568487911	0.011783884056055807	0.013732187171060785	0.01370345006499026	0.013574169934739333	0.013653142433384873	0.01522380741989424	0.015496255358866198	0.015443123781055538	0.015383411675008613	0.017378457322727622	0.01750278232478503	0.017540794822529425	0.017479081928428036	0.0	0.0	0.0	0.0	0.02894282190534985	0.029106498425574515	0.02885730980502244	0.02871460432053567	0.009468624022096599	0.009619118797222157	0.009757285624968094	0.00975283466348857
