rotifer_0.01_2x_25.hist	90314848	2065654	428396	158281	87831	54746	51550	25326	13474	15413	17978	20084	7710	4261	2941	4256	6750	7376	1172	637	1202	1968	5345	1563	231	739	1759	2299	765	381	112	32	11	0	4564	611	174	94	17	0	0	0	0	0	767	254	113	1765	587	351
rotifer_0.01_8x_25.hist	90192991	2145976	416971	161353	80984	50478	41101	36714	21958	14164	16521	11584	5466	9024	8641	2748	3798	5070	3837	2088	1353	1687	3764	1100	699	2238	645	1720	572	285	846	1691	698	79	535	1253	359	195	38	1	1157	640	338	126	20	5	1	561	856	513
rotifer_0.001_8x_20.hist	86379768	3063646	600657	233666	116015	72861	60905	43450	29575	33833	22879	11282	14597	13839	7160	6027	9559	3982	2928	7207	5340	1667	1067	2074	4432	4501	1015	326	107	981	4209	1249	498	56	16	2711	1155	629	124	5	952	1079	572	1287	213	70	30	9	2	2690
rotifer_0.0_2x_20.hist	86662750	3318745	664235	246378	138518	86973	105419	51793	26974	14066	12193	13777	19154	31626	16364	5205	3000	1249	430	1057	1997	3268	15525	6834	401	221	49	14	3	0	2252	4504	4647	535	169	9	1	0	177	2541	846	345	182	67	10	2	0	0	3732	2238
rotifer_0.01_1x_23.hist	89712178	1683319	371524	138058	76931	48065	60847	29894	11769	10291	12003	13562	18855	12398	6414	2040	1175	488	261	642	1212	1984	9426	5456	319	176	38	11	2	0	0	0	2356	4232	1345	83	22	11	1	0	0	0	0	0	0	0	0	0	0	4627
rotifer_0.0_8x_23.hist	85328744	3182121	621776	241131	120958	75854	58217	40888	44803	22848	23553	12328	17139	14422	7462	4520	7169	9569	4220	3381	6385	1994	2590	5035	2363	1311	295	480	4789	2393	708	209	82	8	4460	613	175	94	17	2705	952	389	205	76	11	1381	618	205	67	1571
rotifer_0.0_2x_23.hist	85658180	3208690	579370	235657	114277	72019	85907	49486	19484	18780	21905	24752	20528	11347	5870	3451	5474	7307	10405	5664	3673	1146	729	1418	3029	7343	1657	532	176	87	24	6	8176	942	298	17	4	1	2284	1582	526	214	113	41	5	0	0	0	0	5029
rotifer_0.01_4x_25.hist	90495698	2104455	415567	159929	81926	50417	47073	40238	15842	16612	19377	10737	4204	6941	8611	6775	3904	1625	3327	4289	2781	868	720	1400	2991	3167	714	229	75	36	1163	2325	1255	143	44	1	0	0	1530	1076	357	145	76	27	3	620	277	91	29	1294
rotifer_0.0_1x_23.hist	85704322	2933860	545234	225251	116367	69053	25314	17567	26535	30355	35407	40009	18023	9962	5154	1638	943	635	1337	3290	6215	10174	13511	3952	231	127	27	7	1	0	0	0	2123	6370	3580	222	63	33	5	0	0	0	0	0	0	0	0	0	0	8513
rotifer_0.01_4x_23.hist	90564475	2175780	424606	162687	85334	52262	47549	42474	18178	11933	13919	15727	11903	6579	3403	3234	5130	6847	1088	1765	3333	2045	885	1217	2601	3028	682	218	71	34	3332	1685	673	76	23	0	0	90	2924	161	52	20	9	733	121	39	16	4	0	1882
rotifer_0.01_4x_20.hist	91670188	2359106	442671	168779	90601	55316	28848	25769	38923	19850	9610	5810	8077	13336	9631	3063	1765	1352	2845	6029	3909	1220	1084	2107	2452	1361	306	97	220	3079	2025	600	239	26	7	0	0	0	2826	880	292	118	62	22	55	17	6	1	0	2701
rotifer_0.0_1x_20.hist	86627234	2965453	596517	243119	115774	69951	31312	27969	42247	48330	37041	18267	7012	3875	2097	3034	4811	6422	13520	14137	9168	2864	1240	361	20	10	1	0	0	0	2162	4324	8975	1034	328	19	4	1	0	0	0	0	0	0	0	0	0	0	0	9780
rotifer_0.001_2x_25.hist	86155294	2984684	564678	229444	108084	68086	60137	53719	48464	24715	11965	8900	12373	20430	16927	5385	3103	1462	3077	7573	8601	2686	1163	339	132	423	1007	2685	6061	3029	896	265	105	11	2	0	0	782	6614	366	121	48	24	8	0	0	0	0	0	4795
rotifer_0.01_2x_23.hist	90521403	2336623	464179	169477	95265	59810	67423	38615	15203	7752	9042	10217	14203	16675	8628	2744	1581	657	780	1920	3626	1799	8452	2472	144	79	16	4	0	0	1970	3939	1737	199	62	2	0	0	0	0	0	0	1813	1391	230	75	33	10	2	1469
rotifer_0.001_1x_25.hist	85996512	2972113	549809	219045	117764	71976	55950	27488	12924	14784	17244	19485	27089	27376	14165	4506	2596	1080	170	398	752	1230	5842	11359	4011	2227	501	160	52	25	6	0	1551	4653	4447	276	78	41	7	0	0	0	0	0	0	0	0	0	0	7613
rotifer_0.0_1x_25.hist	85701526	3238929	594990	243797	118287	71551	34141	30497	46066	52698	34126	16829	6460	3570	2165	3133	4968	6631	13961	13358	8663	2706	1171	341	19	9	1	0	0	0	4033	8066	4640	534	169	9	1	0	0	0	0	0	0	0	0	0	0	0	0	8032
rotifer_0.0_4x_25.hist	85560686	3197903	619998	241785	119871	75380	75074	36884	27507	31467	33489	16515	6339	7763	9631	13936	8122	3383	2019	4969	9386	2932	1269	1673	2103	1167	1607	4284	2187	1092	322	94	745	2235	3377	210	59	31	5	0	2967	1215	644	240	39	12	4	0	0	3736
rotifer_0.0_2x_25.hist	85326526	3375024	624868	241057	130629	80254	49934	24758	37397	42781	25995	12819	4920	8090	10036	14523	11760	4899	778	973	1837	3006	14281	4178	244	134	29	8	417	5839	3032	899	358	40	11	0	0	3271	3700	204	67	26	13	3	0	0	0	0	0	5459
rotifer_0.01_1x_25.hist	89526948	1718959	334548	139820	72388	43032	26322	12931	11122	12722	14840	16768	19935	11019	5701	1813	1044	434	699	1721	3250	5321	5542	1620	94	51	10	2	0	0	0	0	6181	1887	599	36	9	4	0	0	0	0	0	0	0	0	0	0	0	4790
rotifer_0.001_1x_23.hist	86260207	3152272	566646	217300	121982	76527	103177	56990	22439	11442	9048	10224	14213	23468	24156	7685	4429	1844	382	939	1774	2903	13790	4034	236	130	28	8	1	0	266	531	12035	1387	440	26	6	2	0	0	0	0	0	0	0	0	0	0	0	7218
