"","species","sim_coverage","error_prof","dist_from_ref","coverage","error_rate","genome_length","read_length","version","variation"
"48","club-moss","4x","HiSeq2500L150R.dat","0.01","4.02311751331122","0.0163614486911867","208216466","150","gen-0.0","err6"
"49","club-moss","4x","MiSeqv3L250R.dat","0.0","4.02316473307708","0.0101078813870201","208216466","150","gen-0.0","err6"
"50","club-moss","4x","MiSeqv3L250R.dat","0.001","4.02292209612634","0.0103291217861606","208216466","150","gen-0.0","err6"
"51","club-moss","4x","MiSeqv3L250R.dat","0.01","4.02240267870186","0.0119474124341238","208216466","150","gen-0.0","err6"
"52","club-moss","4x","novaseq-profR.dat","0.0","4.02281458035177","0.0023329463442977","208216466","150","gen-0.0","err6"
"53","club-moss","4x","novaseq-profR.dat","0.001","4.02300854462077","0.00264915726568282","208216466","150","gen-0.0","err6"
"54","club-moss","4x","novaseq-profR.dat","0.01","4.02277607808114","0.0046328728396926","208216466","150","gen-0.0","err6"
"55","club-moss","8x","20.dat","0.0","8.04544609330357","0.00915755762840209","208216465","150","gen-0.0","err6"
"56","club-moss","8x","20.dat","0.001","8.04551220097578","0.0095703971420813","208216466","150","gen-0.0","err6"
"57","club-moss","8x","20.dat","0.01","8.04556741177894","0.0118856418982625","208216466","150","gen-0.0","err6"
"58","club-moss","8x","23.dat","0.0","8.04531242504329","0.0047472944995085","208216465","150","gen-0.0","err6"
"59","club-moss","8x","23.dat","0.001","8.04539233541628","0.00498331633572247","208216466","150","gen-0.0","err6"
"60","club-moss","8x","23.dat","0.01","8.04607520587644","0.00717585115594133","208216466","150","gen-0.0","err6"
"61","club-moss","8x","25.dat","0.0","8.04493176108465","0.00300661440501626","208216466","150","gen-0.0","err6"
"62","club-moss","8x","25.dat","0.001","8.04554271220911","0.00324365920457226","208216466","150","gen-0.0","err6"
"63","club-moss","8x","25.dat","0.01","8.04595098156933","0.00544866932657684","208216466","150","gen-0.0","err6"
"64","club-moss","8x","HiSeq2500L150R.dat","0.0","8.04540904394882","0.0146970947040131","208216466","150","gen-0.0","err6"
"65","club-moss","8x","HiSeq2500L150R.dat","0.001","8.04603815652169","0.0149184499510741","208216466","150","gen-0.0","err6"
"66","club-moss","8x","HiSeq2500L150R.dat","0.01","8.04525939361394","0.0174884645860444","208216466","150","gen-0.0","err6"
"67","club-moss","8x","MiSeqv3L250R.dat","0.0","8.0452826402679","0.0101529831492204","208216466","150","gen-0.0","err6"
"68","club-moss","8x","MiSeqv3L250R.dat","0.001","8.04502692707431","0.0104107887563138","208216466","150","gen-0.0","err6"
"69","club-moss","8x","MiSeqv3L250R.dat","0.01","8.04478864887119","0.012630182395812","208216466","150","gen-0.0","err6"
"70","club-moss","8x","novaseq-profR.dat","0.0","8.04551074805991","0.00233506952495","208216466","150","gen-0.0","err6"
"71","club-moss","8x","novaseq-profR.dat","0.001","8.04535964480915","0.00259864684955713","208216466","150","gen-0.0","err6"
"72","club-moss","8x","novaseq-profR.dat","0.01","8.04497316918702","0.00481836239553768","208216466","150","gen-0.0","err6"
"73","moss","1x","20.dat","0.0","1.00550371241292","0.00891815732538859","103988016","150","gen-0.0","err6"
"74","moss","1x","20.dat","0.001","1.00541352748949","0.00873664811577579","103988016","150","gen-0.0","err6"
"75","moss","1x","20.dat","0.01","1.00515170029244","0.00814542883856972","103988016","150","gen-0.0","err6"
"76","moss","1x","23.dat","0.0","1.00546443833336","0.00463255962042064","103988016","150","gen-0.0","err6"
"77","moss","1x","23.dat","0.001","1.00550371241292","0.00436012570593836","103988016","150","gen-0.0","err6"
"78","moss","1x","23.dat","0.01","1.00510660783072","0.0032757464985238","103988016","150","gen-0.0","err6"
"79","moss","1x","25.dat","0.0","1.00535534366792","0.00288268320212415","103988016","150","gen-0.0","err6"
"80","moss","1x","25.dat","0.001","1.00513715433704","0.00271840448727689","103988016","150","gen-0.0","err6"
"81","moss","1x","25.dat","0.01","1.00540043612963","0.00150063120641653","103988016","150","gen-0.0","err6"
"82","moss","1x","HiSeq2500L150R.dat","0.0","1.00546152914228","0.0138002336477515","103988015","150","gen-0.0","err6"
"83","moss","1x","HiSeq2500L150R.dat","0.001","1.0054324372315","0.0137183636187499","103988016","150","gen-0.0","err6"
"84","moss","1x","HiSeq2500L150R.dat","0.01","1.00514442731474","0.0136146799199159","103988016","150","gen-0.0","err6"
"85","moss","1x","MiSeqv3L250R.dat","0.0","1.00532770635268","0.0099342186581175","103988016","150","gen-0.0","err6"
"86","moss","1x","MiSeqv3L250R.dat","0.001","1.00527388631773","0.00978928671784851","103988016","150","gen-0.0","err6"
"87","moss","1x","MiSeqv3L250R.dat","0.01","1.00529861444189","0.00907960907012118","103988016","150","gen-0.0","err6"
"88","moss","1x","novaseq-profR.dat","0.0","1.00556480542556","0.00227991473064593","103988016","150","gen-0.0","err6"
"89","moss","1x","novaseq-profR.dat","0.001","1.0053509798813","0.00208183433028442","103988016","150","gen-0.0","err6"
"90","moss","1x","novaseq-profR.dat","0.01","1.00540625451179","0.000783298021537315","103988016","150","gen-0.0","err6"
"91","moss","2x","20.dat","0.0","2.01060595645702","0.00882676938069782","103988016","150","gen-0.0","err6"
"92","moss","2x","20.dat","0.001","2.01123870551656","0.00860259052749646","103988016","150","gen-0.0","err6"
"93","moss","2x","20.dat","0.01","2.0107906900905","0.00738791228179569","103988015","150","gen-0.0","err6"
"94","moss","2x","23.dat","0.0","2.01084305552991","0.004529989673693","103988016","150","gen-0.0","err6"
"95","moss","2x","23.dat","0.001","2.01022194323468","0.00428099208111554","103988016","150","gen-0.0","err6"
"96","moss","2x","23.dat","0.01","2.01045176932987","0.00286250021853751","103988016","150","gen-0.0","err6"
"97","moss","2x","25.dat","0.0","2.01059286509717","0.00289795764214817","103988015","150","gen-0.0","err6"
"98","moss","2x","25.dat","0.001","2.01086778365407","0.00258397218031037","103988016","150","gen-0.0","err6"
"99","moss","2x","25.dat","0.01","2.01040231308153","0.0011750720716075","103988016","150","gen-0.0","err6"
"100","moss","2x","HiSeq2500L150R.dat","0.0","2.01076305277525","0.0136312103460566","103988016","150","gen-0.0","err6"
"101","moss","2x","HiSeq2500L150R.dat","0.001","2.01055068182653","0.0134389533678544","103988016","150","gen-0.0","err6"
"102","moss","2x","HiSeq2500L150R.dat","0.01","2.01035431142874","0.0127183318337177","103988016","150","gen-0.0","err6"
"103","moss","2x","MiSeqv3L250R.dat","0.0","2.01044449635217","0.00994261523158546","103988016","150","gen-0.0","err6"
"104","moss","2x","MiSeqv3L250R.dat","0.001","2.01038776712614","0.00966730653473513","103988016","150","gen-0.0","err6"
"105","moss","2x","MiSeqv3L250R.dat","0.01","2.01060013807486","0.00829215740373601","103988016","150","gen-0.0","err6"
"106","moss","2x","novaseq-profR.dat","0.0","2.01043285958786","0.00228372612361705","103988016","150","gen-0.0","err6"
"107","moss","2x","novaseq-profR.dat","0.001","2.01064813972766","0.00194423248436193","103988016","150","gen-0.0","err6"
"108","moss","2x","novaseq-profR.dat","0.01","2.010419768228","0.000549975943165637","103988016","150","gen-0.0","err6"
"109","moss","4x","20.dat","0.0","4.02088171972665","0.00918645886292357","103988016","150","gen-0.0","err6"
"110","moss","4x","20.dat","0.001","4.02150137742634","0.00889235234682817","103988016","150","gen-0.0","err6"
"111","moss","4x","20.dat","0.01","4.02139664654752","0.0076946207739963","103988016","150","gen-0.0","err6"
"112","moss","4x","23.dat","0.0","4.02141410169399","0.00467258734599363","103988016","150","gen-0.0","err6"
"113","moss","4x","23.dat","0.001","4.02093408516606","0.00440772075731866","103988016","150","gen-0.0","err6"
"114","moss","4x","23.dat","0.01","4.02133991732149","0.00318286661221112","103988016","150","gen-0.0","err6"
"115","moss","4x","25.dat","0.0","4.02074353315042","0.00292306633823358","103988016","150","gen-0.0","err6"
"116","moss","4x","25.dat","0.001","4.02111590960845","0.00270557777555169","103988016","150","gen-0.0","err6"
"117","moss","4x","25.dat","0.01","4.02148392227987","0.00154949434801255","103988015","150","gen-0.0","err6"
"118","moss","4x","HiSeq2500L150R.dat","0.0","4.0212773697133","0.0142547138137099","103988016","150","gen-0.0","err6"
"119","moss","4x","HiSeq2500L150R.dat","0.001","4.02152901474158","0.0140054149151402","103988016","150","gen-0.0","err6"
"120","moss","4x","HiSeq2500L150R.dat","0.01","4.02085262781586","0.0130748715291132","103988016","150","gen-0.0","err6"
"121","moss","4x","MiSeqv3L250R.dat","0.0","4.02154065150589","0.0100730096999352","103988016","150","gen-0.0","err6"
"122","moss","4x","MiSeqv3L250R.dat","0.001","4.02101263332517","0.00979932070943013","103988016","150","gen-0.0","err6"
"123","moss","4x","MiSeqv3L250R.dat","0.01","4.02143737522261","0.0084938764115805","103988016","150","gen-0.0","err6"
"124","moss","4x","novaseq-profR.dat","0.0","4.02116100207017","0.00232505568685681","103988016","150","gen-0.0","err6"
"125","moss","4x","novaseq-profR.dat","0.001","4.02156247043898","0.00209232372076551","103988016","150","gen-0.0","err6"
"126","moss","4x","novaseq-profR.dat","0.01","4.02124827780252","0.000952488296979692","103988016","150","gen-0.0","err6"
