sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
nematode_0.02_4x_1.hist	181746287	5557014	955918	378903	193156	119910	101718	90862	43360	32718	38164	30465	11695	18269	22666	20370	11742	4891	4899	12058	16776	5241	2270	4413	3642	4868	11586	7353	2450	1224	361	106	7234	8916	2836	176	49	26	4	1977	6198	2539	1346	504	83	26	10	2	0	10804	208514112
nematode_0.002_1x_1.hist	153406668	9807390	1816170	677742	381437	239631	236164	116030	45685	44093	51432	58117	80800	54033	27959	8895	5126	2135	2017	4966	9379	15354	62223	18206	1069	593	133	41	12	5	0	0	7688	23063	25160	1571	450	244	47	1	0	0	0	0	0	0	0	0	0	46255	200759710
nematode_0.008_1x_1.hist	168492831	9046474	1649697	610970	345968	218062	222526	146942	57857	29506	18943	21404	29757	49134	60961	32399	18676	7780	1236	850	1605	2627	12477	24261	20545	11413	2576	828	275	136	39	10	3114	9343	29578	1847	530	288	56	2	0	0	0	0	0	0	0	0	0	37961	209888964
nematode_0.004_8x_1.hist	158254922	9997423	1675462	653079	338019	211440	146556	130915	84105	73775	69492	46369	38480	21270	23018	21188	14380	19197	17411	9478	10664	17457	11619	3398	7262	19732	4454	1433	5366	11574	3428	1017	3308	9923	3156	196	55	3683	13570	752	249	101	2019	11487	1913	636	284	93	30	12302	205489437
nematode_0.001_2x_1.hist	153230314	10364834	2029600	739158	419466	264690	240877	118345	70826	81024	94512	61443	23589	22501	27917	40396	23286	9701	1895	4665	8811	14425	45857	13417	788	436	97	30	880	12324	26961	8010	3203	368	116	6	0	0	7015	14649	4882	1999	1060	396	65	20	8	1	0	30113	204462156
nematode_0.0_8x_1.hist	149329554	11527722	1848587	726409	372135	233868	157044	140284	99583	74050	86376	57755	30382	50165	27657	13371	21208	27781	4418	10070	19020	12901	7518	14618	15407	8558	1931	1432	17729	8863	2625	779	11935	8289	2636	163	46	13605	2720	150	49	19	4493	12471	2077	691	308	101	978	14235	204480624
nematode_0.002_2x_1.hist	155346920	10001638	1926867	706857	400762	252762	251305	123469	55811	63847	74475	84156	38542	21305	11023	13561	21510	28714	23656	12878	8352	2609	4775	9284	19839	27349	6174	1987	661	329	96	27	25254	2912	925	56	15	3117	20461	1135	377	153	80	29	3	0	0	0	0	32008	204575741
nematode_0.01_1x_1.hist	170984455	8607100	1570597	588204	304925	193753	153145	136801	100951	51484	24926	22314	31023	51223	29328	9330	5377	2239	4714	11603	21917	35517	15389	4502	263	145	31	9	2	0	2830	5660	40887	4715	1499	92	25	12	1	0	0	0	0	0	0	0	0	0	0	38298	209871049
nematode_0.02_8x_1.hist	181867160	5240328	975087	375474	196093	121901	110661	72517	42455	48567	27203	25142	27928	15437	14261	20636	11895	6156	12959	10773	6987	2182	9169	10606	897	2871	6832	8095	2697	1347	2112	4223	8481	977	309	18	2725	6259	1250	68	21	3034	3388	1269	210	704	314	103	33	7930	207935672
nematode_0.0_4x_1.hist	149973493	10860544	2009509	745587	416439	260533	145654	88775	134095	84504	58651	66275	38559	29336	36397	30806	17758	7398	6288	15479	29237	14578	6316	1847	3500	11200	26657	8583	2860	1429	422	843	26516	3057	971	59	16	7	13723	5837	1944	796	421	2845	5293	1763	789	262	86	18954	203361362
