sample	nematode_0.001_1x_1	nematode_0.001_2x_1	nematode_0.001_4x_1	nematode_0.001_8x_1	nematode_0.002_1x_1	nematode_0.002_2x_1	nematode_0.002_4x_1	nematode_0.002_8x_1	nematode_0.004_1x_1	nematode_0.004_2x_1	nematode_0.004_4x_1	nematode_0.004_8x_1	nematode_0.006_1x_1	nematode_0.006_2x_1	nematode_0.006_4x_1	nematode_0.006_8x_1	nematode_0.008_1x_1	nematode_0.008_2x_1	nematode_0.008_4x_1	nematode_0.008_8x_1	nematode_0.01_1x_1	nematode_0.01_2x_1	nematode_0.01_4x_1	nematode_0.01_8x_1	nematode_0.02_1x_1	nematode_0.02_2x_1	nematode_0.02_4x_1	nematode_0.02_8x_1	nematode_0.0_1x_1	nematode_0.0_2x_1	nematode_0.0_4x_1	nematode_0.0_8x_1
nematode_0.001_1x_1	0.0	0.0	0.0	0.0	0.002697372657456178	0.0025734929350569847	0.0024577518041509656	0.0025105597335422047	0.004567845984436593	0.00471015257945802	0.004335377763769115	0.004125653283266829	0.006432416786942784	0.006295725280239705	0.00615294811281539	0.006048999488759973	0.008233046698645791	0.00840772501742702	0.007976782244847522	0.007808960139484836	0.010392963442948256	0.010343670893585198	0.009788708229861788	0.0095447613214007	0.019810815583816407	0.019173556981367874	0.018856657711691753	0.01854504556320923	0.0009927089225749413	0.0007082673991743255	0.0007037303980917754	0.0008081394059630536
nematode_0.001_2x_1	0.0	0.0	0.0	0.0	0.0026245194832906966	0.002297692126924753	0.0020175784112808986	0.0020805771893816407	0.004488145951417523	0.004435316451576415	0.003910697472439647	0.0038338367003847647	0.006126998758929446	0.006069056090374096	0.005783062483933251	0.005560001012856494	0.00812913522348237	0.008025232521808348	0.007543868955284825	0.00736776245039967	0.01014327988993092	0.009809462994650738	0.009223994384686927	0.009148770332640289	0.01981827041986682	0.019082216286624203	0.01857175945073789	0.018469974520330452	0.0006832470994121236	0.000412886423680182	0.0	0.0
nematode_0.001_4x_1	0.0	0.0	0.0	0.0	0.002554761672955405	0.0021016942302726984	0.0017913079705029105	0.0019225961282857864	0.004327452579724165	0.004179076099608549	0.0037803074191076905	0.003745214452080548	0.006153911302898361	0.005885705642693854	0.0055146576471425835	0.005471710979791024	0.008092894803304338	0.007959460443895687	0.007446507234978015	0.007315579863888653	0.010036465983918018	0.009849776177571629	0.009217701518403785	0.009056339043270212	0.019983731229651743	0.019018104145332802	0.018575962414218133	0.01834415230670586	0.0006483699721470922	0.0	0.0	0.0
nematode_0.001_8x_1	0.0	0.0	0.0	0.0	0.002721690243079178	0.0022095396875088475	0.0019516376287881986	0.002357672793071345	0.004357493208062287	0.004225015752425263	0.0039239063384201266	0.0040736584285192175	0.006286654740895794	0.006063491127095559	0.0056692520009002005	0.005808145935798412	0.00818400948536624	0.00803075154040513	0.00757171331152307	0.007688144961193452	0.01016268168102595	0.00992402834811712	0.009328769620328938	0.009351042922995201	0.020053771712967246	0.019147911041714344	0.018654593511392724	0.018650694041558075	0.000714496372665906	0.0	0.0	0.0006694791042726874
nematode_0.002_1x_1	0.0026970166379661703	0.0026473655104506	0.002572323821487166	0.002705883240917724	0.0	0.0	0.0	0.0	0.0056332142667059925	0.005711580233901047	0.005391250495036798	0.0052472540881008875	0.007442429322375118	0.007291158815839188	0.007112337165052441	0.006919026811693876	0.009371342458138827	0.009429002754978797	0.009040391791572008	0.008824232816095987	0.011347597759882493	0.011373037357843329	0.010812736381989447	0.010576123667036518	0.020439112091461008	0.020187594704942417	0.019788185797864732	0.019426595333767123	0.0020139686069508955	0.0017072920466924715	0.0016958085472771622	0.0018765136753737554
nematode_0.002_2x_1	0.0025504528925396988	0.0022972330055416766	0.0020982944702737216	0.0021788471336050327	0.0	0.0	0.0	0.0	0.0054378299293445466	0.0053549232178427214	0.0050355106498105	0.004881500133460872	0.007203601504242241	0.0070921175003472135	0.006823603399500239	0.00658768381440761	0.009359542173755245	0.009156246833505494	0.00863747939792064	0.008449026904979982	0.011081023858936858	0.010760781920657264	0.010280138022475035	0.010098409369827161	0.02077460407252675	0.020094721090491412	0.019583354586247465	0.01928171850384518	0.0017499159572401065	0.0014624669430374384	0.0012145781566382048	0.001355690504396294
nematode_0.002_4x_1	0.0024387992722828705	0.002018891956514107	0.0017899419008519366	0.0019268868649518834	0.0	0.0	0.0	0.0	0.005240828524743396	0.005093544809401058	0.004666736674474591	0.004685722684271721	0.007084706026466897	0.006869931091917799	0.0065412898279659055	0.006416983564086931	0.009100102629010013	0.008882115729243127	0.00841115752556778	0.008228950219391845	0.010943536591312386	0.010570740030723275	0.010053776530836857	0.00991529329065332	0.020801730543048128	0.019873821272054396	0.01943223201735105	0.019234244141688197	0.0015953110302245877	0.0011676677658246995	0.0008359913791280636	0.0010916710233338097
nematode_0.002_8x_1	0.0025236452286852545	0.002108385361315385	0.001944809179676331	0.0023565409403712182	0.0	0.0	0.0	0.0	0.005208204183695697	0.005168996171357983	0.004858773386618668	0.0050508571200564185	0.007229368051585819	0.006968570586262988	0.006611774358608711	0.006712289128994258	0.009252732943860672	0.008963027846664279	0.008563331143785689	0.00857639664813572	0.011088246705697033	0.010774047665084148	0.010162760327619973	0.01020398470582888	0.020985994553140985	0.02007408052067159	0.01955829172782481	0.01956478424360191	0.0017496733582070868	0.0012455426721036085	0.0010188196428903575	0.001583078218691995
nematode_0.004_1x_1	0.004566676531612394	0.004526811937003724	0.004357121695076241	0.004332332852346291	0.005632511408217941	0.005485824541067083	0.005281046510594391	0.005181183125096161	0.0	0.0	0.0	0.0	0.009058971819655488	0.009190227963431725	0.00887533178122749	0.008630767614661665	0.011039171319412658	0.011040224498023072	0.01050614293991959	0.010350090541960958	0.012625447034640552	0.012774316205082382	0.012190338205829028	0.012051263989258263	0.022375244217619206	0.021785035444515075	0.021174547298857656	0.02115230121482494	0.003585871669019942	0.003547956325350687	0.003449607135737356	0.0035167790941830566
nematode_0.004_2x_1	0.004664899114060519	0.004431668361972455	0.004170017835381669	0.004164226228543798	0.005657378307623353	0.0053515908331694135	0.005086549689015489	0.005097537375938994	0.0	0.0	0.0	0.0	0.009340021936270405	0.008994351144925288	0.00874618366250714	0.008537915935124272	0.011278704347010442	0.011065923523689696	0.010597873957893114	0.010394012769718545	0.013025262512316744	0.012797333764264205	0.012187542684545864	0.011940755804883602	0.02261205603876676	0.021754192182733677	0.021369767146284534	0.02115569158398222	0.0036863037171172616	0.003527894975091199	0.0032194535360408876	0.0033797478922514665
