sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
moss_0.0_8x_20.hist	53889314	8334397	1775001	734610	368563	232118	304387	149548	134858	154277	74696	59442	79318	43846	32781	47436	42116	18423	38786	37526	24340	7605	17757	34528	19276	10708	2417	777	30401	15199	4502	1336	533	60	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
moss_0.0_4x_25.hist	51977789	8171639	1684464	710632	378644	231588	214491	191601	189024	96401	69606	78653	76529	42304	24818	35912	56963	53409	8496	14688	27744	45421	19681	5758	6120	19585	21278	6851	2282	1140	10859	21717	8686	6676	6224	388	110	59	11505	638	9227	7657	4063	1522	252	83	36	11	2	23507
moss_0.001_4x_HiSeq2500L150R.hist	58159771	14304312	2403930	1020514	553971	340714	225656	118451	178921	204685	150751	74346	28542	42939	53275	77091	60930	25386	5947	14639	27651	45268	64721	18937	1112	617	138	43	18708	55348	16398	4871	1947	223	70	3	0	0	46417	2577	858	350	185	68	10	2	0	0	0	38478
moss_0.0_2x_MiSeqv3L250R.hist	51572983	11198799	1946518	833078	462871	288722	306814	150741	79627	91093	106256	120068	115252	63710	32967	10488	12062	16102	33898	83442	56334	17603	7627	2230	1662	5319	12658	33755	29179	14588	4321	1283	512	58	17	5672	29536	16109	3220	177	58	22	11	3	0	0	0	0	0	45904
moss_0.01_8x_25.hist	66547705	5395672	1222321	483740	245941	154985	170156	107867	109710	62310	72682	40353	44945	52017	26916	22979	36448	20970	7548	18578	23390	7308	5924	11518	11981	6655	1727	4605	12136	6067	1796	532	6869	2674	8872	553	158	85	10151	2320	772	315	166	5579	2984	993	444	147	48	8889
moss_0.0_4x_HiSeq2500L150R.hist	56943477	14620685	2470726	1050163	572072	352634	238744	126324	190813	218290	148226	73100	28760	47487	58918	85257	56132	23387	8414	20712	39121	61367	26591	7779	1842	5895	14030	37414	34056	17027	5044	1497	598	67	20	0	20202	37756	7550	418	138	55	28	9	0	0	0	0	0	45410
moss_0.001_8x_MiSeqv3L250R.hist	54673645	7055321	1570353	649181	324490	205264	281778	138441	118160	135174	87188	42998	59779	62818	32505	29281	46445	42849	11442	28165	30899	9655	22686	28109	1932	6182	14713	17673	5890	2944	7623	15245	6097	702	222	7461	11413	6224	1243	68	21	1861	13862	5197	865	287	127	41	12	16133
moss_0.001_1x_MiSeqv3L250R.hist	53498622	9584756	1688572	725739	408023	256196	456662	224364	88342	45053	34480	38962	54168	89439	110970	51161	29491	12287	25866	53333	34593	10809	4683	1369	79	43	8	1	4555	63770	45141	13411	5363	617	195	11	2	0	0	0	0	0	0	0	0	0	0	0	0	59984
moss_0.001_1x_25.hist	55413620	7932782	1831004	680577	391033	248310	301764	269561	179344	91464	44284	37194	51710	85381	93063	29610	17068	7110	8210	20209	38173	62494	51603	15098	887	491	110	34	10	4	11440	22879	50989	5881	1870	115	32	16	2	0	0	0	0	0	0	0	0	0	0	51184
moss_0.001_4x_20.hist	55008290	11968182	2048223	871916	477078	294887	217344	106783	161297	184523	133887	66029	26462	43693	54211	70394	40579	16907	14245	35064	61732	19290	8358	5688	12154	38894	22029	7093	2363	1180	9458	18915	21964	2532	804	49	13	6	17097	14380	4792	1963	1041	389	63	20	8	1	0	32500
