sample	oyster_0.001_1x_1	oyster_0.001_2x_1	oyster_0.001_4x_1	oyster_0.001_8x_1	oyster_0.002_1x_1	oyster_0.002_2x_1	oyster_0.002_4x_1	oyster_0.002_8x_1	oyster_0.004_1x_1	oyster_0.004_2x_1	oyster_0.004_4x_1	oyster_0.004_8x_1	oyster_0.006_1x_1	oyster_0.006_2x_1	oyster_0.006_4x_1	oyster_0.006_8x_1	oyster_0.008_1x_1	oyster_0.008_2x_1	oyster_0.008_4x_1	oyster_0.008_8x_1	oyster_0.01_1x_1	oyster_0.01_2x_1	oyster_0.01_4x_1	oyster_0.01_8x_1	oyster_0.02_1x_1	oyster_0.02_2x_1	oyster_0.02_4x_1	oyster_0.02_8x_1	oyster_0.0_1x_1	oyster_0.0_2x_1	oyster_0.0_4x_1	oyster_0.0_8x_1
oyster_0.001_1x_1	0.0	0.0	0.0	0.0	0.0029100080725317167	0.002863566946768227	0.002728270688603839	0.00270771469820908	0.0048365210868332835	0.00475206659591864	0.0044788673268830745	0.0043548123925277555	0.006439583649691193	0.006551669210364836	0.006139141562310858	0.00606446856650909	0.008560498565599591	0.008542484367146125	0.007921305062752826	0.00788810375069102	0.010639791340523124	0.010465229083184022	0.010110094714902847	0.009910732823475253	0.019645027226421377	0.019513565421387987	0.018950774070491127	0.018596107587246672	0.0008122352860391321	0.0006043160646675575	0.0006423640256404931	0.0007654356670696263
oyster_0.001_2x_1	0.0	0.0	0.0	0.0	0.002582379993499466	0.002379545932254643	0.0021469207060883025	0.0021513321696084394	0.004646903178952308	0.004419626281140902	0.004027048409064847	0.003931501896397284	0.006183360595275892	0.00619983374556755	0.0056736040628835365	0.005671796347885419	0.008301416472312265	0.008106772090555719	0.007522071481376001	0.007375666768066231	0.010442405590225762	0.010030693053319033	0.009541828781242791	0.009333651363092919	0.019697677401451605	0.019522334598476437	0.018930425048624997	0.018495916383020478	0.000422333209183943	0.0	0.0	0.0
oyster_0.001_4x_1	0.0	0.0	0.0	0.0	0.002714918594543454	0.002339292349495454	0.00208435191873818	0.0021656148657379177	0.004724235450136139	0.004288192720551916	0.003912833032570667	0.003908266388485914	0.00647697489195846	0.006299155956508793	0.005645315390768343	0.005671917788668445	0.008470485595712373	0.0080708008419309	0.007529292720356199	0.007454666239137728	0.010612734326612468	0.010093955196773268	0.009557609540062241	0.009365530320560408	0.02007579770728664	0.01970904572134718	0.018914020804142236	0.018713028627809766	0.00047978882203161756	0.0	0.0	0.0
oyster_0.001_8x_1	0.0	0.0	0.0	0.0	0.002731832654864604	0.0024020382635184553	0.002259119855390199	0.002696421947365974	0.0047567786768710745	0.004366688317044177	0.004082496678885965	0.004431565072545927	0.0064852475849184205	0.0063814274148468846	0.0058122365692976	0.0060596910320727445	0.00866671051578703	0.008198576265057118	0.007695894335451324	0.007950462093248274	0.010740222701242988	0.010211373668449592	0.009724885037171435	0.009909956186499919	0.020358590241862002	0.019797208187573818	0.019184288916653355	0.019270979604303212	0.0005386047294490377	0.0	0.0	0.0008272409483368857
oyster_0.002_1x_1	0.0029089088194242697	0.0026398144182340796	0.002781270161897697	0.002746439307274053	0.0	0.0	0.0	0.0	0.005854224271659042	0.006009127313724245	0.005618074719381601	0.0053003522221679545	0.007718542614899103	0.007835345296604174	0.007226477053888667	0.007117360512989672	0.009698158206025865	0.009702067960755886	0.008935970930349271	0.008748674638148336	0.011684562082977707	0.011523429544224797	0.01095124440875706	0.0106697396597644	0.020746120085177677	0.020667077465860342	0.02022234174499171	0.019886139123447198	0.0019309261650904954	0.0017519011562438659	0.0017603367015405103	0.0017895397243060628
oyster_0.002_2x_1	0.002797898046435863	0.002377578702282214	0.002344224713321565	0.002363646915321906	0.0	0.0	0.0	0.0	0.005897923589719282	0.005663538798338764	0.0051984335823480245	0.005065768031973267	0.007740654509087411	0.007622275221465661	0.006941765168355327	0.006867240459759224	0.009528635083051046	0.009278275049326849	0.008744479847799861	0.008628896703800817	0.011537152959032267	0.01114604976782739	0.010647050060019706	0.010414101841845557	0.020959477305254846	0.020685734874642668	0.020113532656482226	0.01968634437727001	0.001724760229972349	0.0014254468665371436	0.0013079845517446405	0.0014888115322297902
oyster_0.002_4x_1	0.0026595307073810155	0.002138484983951927	0.0020822439050904398	0.0022179790719292535	0.0	0.0	0.0	0.0	0.005738445810760413	0.005328789391388715	0.004938630654998628	0.004931548770859324	0.007507605765296347	0.007322654192998132	0.006709249068384516	0.0067196586161722355	0.009490354249869977	0.009139869676602762	0.008546334721692798	0.008417421868147689	0.011502611882789601	0.011078974273779869	0.010538281574281591	0.01031397690307769	0.0209339911474844	0.020583368697372966	0.019871060797868365	0.019694455849217193	0.0015633602349910698	0.0011065659952569924	0.0010268433924363238	0.0013515018646835892
oyster_0.002_8x_1	0.0026891525781591657	0.002181934596255804	0.0022010410295072295	0.0026935611810187713	0.0	0.0	0.0	0.0	0.005706886963775075	0.005309694489270571	0.005033327884758711	0.005422232157844041	0.007416659772104164	0.007328554278359889	0.006831661194372491	0.007070487147637288	0.009625320999097634	0.009059005160124051	0.008583198189178978	0.008815228910614684	0.011682290509910126	0.01113659180272899	0.010656381032655106	0.010868544951533936	0.021035059215051638	0.020640078209162093	0.020168924366584195	0.02024868090162619	0.0015480240670314878	0.0011174325053019693	0.0012080512360488668	0.0018364387074289912
oyster_0.004_1x_1	0.004832001846770294	0.004748059623228913	0.004838239855041548	0.004781798227803581	0.0058509520956903345	0.006031388933621439	0.005883412058529672	0.005744762176261189	0.0	0.0	0.0	0.0	0.00958881915198887	0.009683044642424773	0.009174256420653806	0.009044660581110272	0.011570725814004661	0.011649475018371009	0.011137470372014378	0.010889484853294946	0.013470338798470698	0.013201040850796554	0.01289436326309718	0.012721369786470715	0.022337172977626538	0.022487178479547138	0.022074296129285863	0.021646248177070216	0.0036668604916988627	0.0039727753707002435	0.003926628761921651	0.004010205476767238
oyster_0.004_2x_1	0.004627921627040852	0.004401930699015436	0.004284285482386042	0.004284218338424113	0.005854302188145964	0.0056456358036777975	0.005329816410810027	0.005216459603629979	0.0	0.0	0.0	0.0	0.009451159686196003	0.009417960971280982	0.008855555771316135	0.00868336279286294	0.011604637300921736	0.011238517085257901	0.010647237233759535	0.0103780481925572	0.013263486453311964	0.012955753390688688	0.012532219611470441	0.012269552059701448	0.022596076820479028	0.022473400456623247	0.021774328869721523	0.02143239268642479	0.0036311036838318853	0.003516863686951591	0.0033659527985325484	0.0034433048886332853
oyster_0.004_4x_1	0.004350998970182502	0.003997720998630392	0.003896392726308797	0.003995511251286857	0.005459160678869103	0.00516449355095952	0.004922906064387422	0.004932114352722458	0.0	0.0	0.0	0.0	0.009077036810442285	0.00911123042890565	0.0084807929021501	0.008356528746017621	0.011199875801857046	0.010834583464201762	0.010326839317199401	0.010148447553593615	0.013132633038906633	0.012679870711776876	0.01231430376633455	0.012102864448750476	0.022553908363815656	0.022259420148553928	0.02163066433095886	0.021399572001769666	0.003275006295311052	0.002973894241458609	0.002926498487047652	0.0031608921455442383
oyster_0.004_8x_1	0.004315371826136118	0.003978937625635626	0.003964705497334126	0.00441952758835245	0.0052532760315985305	0.005130275607043063	0.005007476128737651	0.005413245827017289	0.0	0.0	0.0	0.0	0.009005976127768808	0.009030880258768434	0.008491778997722946	0.00868946158202678	0.01123720192226888	0.010772630004794373	0.010305945294960572	0.010548195532226497	0.013237912180454768	0.012704357411750333	0.012312133687107853	0.01250942914212477	0.022532100707387457	0.02225756291921179	0.021765288817509294	0.021871055832819952	0.0031827179477791167	0.0028954946973204177	0.0030646775704602563	0.00356024571148043
oyster_0.006_1x_1	0.006429639403717248	0.006314408408410529	0.0066303849917937925	0.006517585053413034	0.00770953498631565	0.00791119873735107	0.007693661725311066	0.007463562357822734	0.009582986359322705	0.009689385304017561	0.009332263800735553	0.009081494819035541	0.0	0.0	0.0	0.0	0.012864742705273933	0.013034340224223503	0.012741819242538885	0.012531569094005709	0.014944708893975317	0.014940423623141772	0.0146543629172596	0.014315567538785252	0.023616961648292027	0.024008181215161316	0.023546904675282913	0.023102000087825536	0.005493807972761037	0.005568760725331941	0.005635946137064662	0.00563275166213476
oyster_0.006_2x_1	0.00637830895044744	0.006173049469343695	0.00629209201962997	0.0062607357970491505	0.007630951029403102	0.007595724149337529	0.00732233267212396	0.007199463703219173	0.009436005119572695	0.009414537620695815	0.00914073927799666	0.008890089129124496	0.0	0.0	0.0	0.0	0.0130397690746558	0.012974313175226005	0.012577862577601904	0.012221780843097723	0.014964880308001144	0.014852424959460028	0.014419881228678755	0.014088647705694594	0.023912840360467865	0.0240058721640267	0.023553053937614497	0.023025791494399924	0.005380941587219646	0.005337916678596148	0.005276173898069958	0.005375960301946652
oyster_0.006_4x_1	0.005962066353292187	0.005630831029602206	0.005620639958904523	0.0056882361779921516	0.0070201222486481404	0.006894677451676579	0.006686693784802665	0.0066940592148	0.008916473191564063	0.008822024761633547	0.008479039575096752	0.008336474602942462	0.0	0.0	0.0	0.0	0.01271505882042964	0.012569772913862657	0.011983089349381061	0.011707659591277583	0.014560322888730071	0.014329661509969454	0.013898240124906498	0.013566380247975025	0.023865110767829243	0.0237204587723414	0.02297746573418873	0.022597715914917955	0.004936387272402935	0.004685041682481166	0.004632800275465817	0.004765762270471701
oyster_0.006_8x_1	0.005990812661467047	0.005722909615828149	0.005737865596383223	0.006027841870739391	0.007032325456770534	0.006933789750555918	0.0068041790798181855	0.00704083299128297	0.008939284060803061	0.008793402972255683	0.00848786630218054	0.008667445473092217	0.0	0.0	0.0	0.0	0.01284301622365393	0.01242781723221582	0.011956873106233864	0.012100442101724784	0.014792095040403798	0.014312860605358444	0.013877278548634362	0.013931010297066069	0.023917306360265102	0.02348403364099611	0.022974784211116046	0.023022081251506225	0.004866332121513236	0.004707686743914615	0.00473093591918668	0.005210282281832417
