sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
moss_0.0_8x_1.hist	53084536	6767283	1550484	623810	319592	201616	224308	185709	120385	116762	96517	47599	60520	60628	31372	30493	48368	40995	12413	30555	35628	11132	14350	27902	12819	7120	6206	16548	14937	7467	2211	656	14057	13472	4285	266	75	40	19635	1089	362	147	77	14108	2350	782	349	115	37	15860
moss_0.0_2x_1.hist	50545086	10861315	1926829	822393	453404	281536	239641	117738	104187	119189	139030	140720	54025	29864	18393	26616	42217	56358	60483	32928	21358	6673	8265	16071	6568	21017	50020	20749	6915	3456	1023	303	120	12	3	38984	14484	7899	1578	86	27	10	4	0	0	0	0	0	0	43399
moss_0.0_1x_1.hist	50298713	9521355	1679360	721453	405089	254173	409016	200954	79124	41967	48952	55315	76904	126981	93859	29863	17214	7171	5826	14340	27086	44343	70904	20746	1219	676	151	47	14	6	0	0	69977	20075	6386	398	113	60	11	0	0	0	0	0	0	0	0	0	0	51362
moss_0.004_1x_1.hist	59872205	7632583	1757676	646395	371183	235977	259036	231392	183542	93605	45320	28205	39213	64747	80334	59561	34334	14304	2274	2877	5435	8897	42260	82172	4832	2683	605	193	63	30	8	1	2526	7577	50640	3164	908	494	97	4	0	0	0	0	0	0	0	0	0	42424
moss_0.008_1x_1.hist	61497722	10848881	1756041	702217	398478	251446	327070	237707	93596	47733	31234	35293	49068	81018	100522	31983	18436	7680	3826	9419	17790	29125	63468	18570	1091	605	135	42	13	5	0	0	35157	24797	7889	492	140	75	14	0	0	0	0	0	0	0	0	0	0	41162
moss_0.008_4x_1.hist	63513037	6339960	1338141	553064	276265	173026	193349	172715	100418	60690	70792	68369	26247	43338	53770	28345	16339	16893	35565	24426	15842	4949	5413	10524	20230	11238	2536	815	1264	17705	9609	2854	1140	130	40	9639	8500	4635	926	50	15	5	9885	3706	616	204	90	29	8	13489
moss_0.006_2x_1.hist	59548689	8815575	1502755	641249	353300	219293	193959	95294	72600	83053	96879	109472	55200	30513	17794	25749	40842	54522	25259	13751	8918	4173	19822	38542	8710	4838	1091	350	12355	23884	7075	2101	839	95	29	0	4069	27354	5469	302	99	39	20	6	0	0	0	0	0	28665
moss_0.002_4x_1.hist	55178054	7681847	1603173	670520	347953	214869	212380	189715	171349	87387	52688	59536	82773	55252	28590	25105	39821	53159	27342	14885	14396	23568	29251	8558	2973	9512	22639	19038	6345	3171	938	277	6044	18131	14676	916	262	142	27	0	9560	8765	4652	1743	289	95	41	12	3	21094
moss_0.006_4x_1.hist	61027627	6715561	1413661	587178	298099	185231	193582	172923	132273	67458	55136	62303	71581	39569	21668	31354	33593	44846	23901	13011	8439	6631	31496	23286	1368	1695	4034	10756	14515	7256	6791	2017	805	91	16760	4621	1327	723	143	6	9981	6811	3614	1354	224	73	32	9	2	16202
moss_0.006_1x_1.hist	58558474	10733650	1622871	696422	389884	244234	309275	151950	59829	68444	79837	90215	102962	56916	29451	9370	6810	9090	19136	47104	83245	26013	11271	3297	192	106	22	6	1	0	6008	12016	61115	7049	2241	139	38	20	3	0	0	0	0	0	0	0	0	0	0	45149
moss_0.01_4x_1.hist	65587647	6312127	1291689	535051	269225	167510	175698	156948	95098	51844	60474	68334	56646	31313	19985	28919	45871	27677	4402	8204	15495	25368	15561	4552	1740	5569	13253	9735	3244	1621	479	141	20694	3492	1110	68	18	9	849	13779	4592	1880	997	373	61	19	7	1	4340	11114
