sample	club-moss_0.001_1x_20	club-moss_0.001_1x_23	club-moss_0.001_1x_25	club-moss_0.001_1x_HiSeq2500L150R	club-moss_0.001_1x_MiSeqv3L250R	club-moss_0.001_1x_novaseq_profR	club-moss_0.001_2x_20	club-moss_0.001_2x_23	club-moss_0.001_2x_25	club-moss_0.001_2x_HiSeq2500L150R	club-moss_0.001_2x_MiSeqv3L250R	club-moss_0.001_2x_novaseq_profR	club-moss_0.001_4x_20	club-moss_0.001_4x_23	club-moss_0.001_4x_25	club-moss_0.001_4x_HiSeq2500L150R	club-moss_0.001_4x_MiSeqv3L250R	club-moss_0.001_4x_novaseq_profR	club-moss_0.001_8x_20	club-moss_0.001_8x_23	club-moss_0.001_8x_25	club-moss_0.001_8x_HiSeq2500L150R	club-moss_0.001_8x_MiSeqv3L250R	club-moss_0.001_8x_novaseq_profR	club-moss_0.01_1x_20	club-moss_0.01_1x_23	club-moss_0.01_1x_25	club-moss_0.01_1x_HiSeq2500L150R	club-moss_0.01_1x_MiSeqv3L250R	club-moss_0.01_1x_novaseq_profR	club-moss_0.01_2x_20	club-moss_0.01_2x_23	club-moss_0.01_2x_25	club-moss_0.01_2x_HiSeq2500L150R	club-moss_0.01_2x_MiSeqv3L250R	club-moss_0.01_2x_novaseq_profR	club-moss_0.01_4x_20	club-moss_0.01_4x_23	club-moss_0.01_4x_25	club-moss_0.01_4x_HiSeq2500L150R	club-moss_0.01_4x_MiSeqv3L250R	club-moss_0.01_4x_novaseq_profR	club-moss_0.01_8x_20	club-moss_0.01_8x_23	club-moss_0.01_8x_25	club-moss_0.01_8x_HiSeq2500L150R	club-moss_0.01_8x_MiSeqv3L250R	club-moss_0.01_8x_novaseq_profR	club-moss_0.0_1x_20	club-moss_0.0_1x_23	club-moss_0.0_1x_25	club-moss_0.0_1x_HiSeq2500L150R	club-moss_0.0_1x_MiSeqv3L250R	club-moss_0.0_1x_novaseq_profR	club-moss_0.0_2x_20	club-moss_0.0_2x_23	club-moss_0.0_2x_25	club-moss_0.0_2x_HiSeq2500L150R	club-moss_0.0_2x_MiSeqv3L250R	club-moss_0.0_2x_novaseq_profR	club-moss_0.0_4x_20	club-moss_0.0_4x_23	club-moss_0.0_4x_25	club-moss_0.0_4x_HiSeq2500L150R	club-moss_0.0_4x_MiSeqv3L250R	club-moss_0.0_4x_novaseq_profR	club-moss_0.0_8x_20	club-moss_0.0_8x_23	club-moss_0.0_8x_25	club-moss_0.0_8x_HiSeq2500L150R	club-moss_0.0_8x_MiSeqv3L250R	club-moss_0.0_8x_novaseq_profR
club-moss_0.001_1x_20	0.0	0.0004733835408118507	0.0007902215181879136	0.0006514217532413179	0.0006637910182354055	0.0008182366231072388	0.0	0.0008925315906695695	0.0008355083535997712	0.001266176783959457	0.0005048328733640019	0.001203599826531389	0.0	0.0009184981816483722	0.0010564652910428451	0.0007070213700064631	0.001163579479634317	0.001289670265696654	0.0	0.0007346066389262182	0.0010669468825273774	0.0011451440833081241	0.0013826505662407975	0.0009319253079584488	0.010954776595724384	0.010553601962027755	0.010348458385255683	0.010704695570857028	0.010650710257139236	0.010551819208965276	0.01082935698871197	0.010558043375635675	0.010946164006726222	0.010842651266518462	0.010701646759214492	0.011017627683679294	0.010041356664293698	0.010536385092591563	0.010419062211667236	0.009943889403757724	0.010444887514114229	0.010660317035011233	0.00997154865339021	0.010057306568964194	0.01023744654635618	0.009993741644282215	0.010651941706355013	0.010228067151841082	0.0013296618355241405	0.001471985677957755	0.0015877790843222288	0.0020787831236247817	0.0009039985902334511	0.0017992315161303389	0.0018437131163979953	0.002134691409742811	0.002173531002086149	0.002142736093203742	0.0016309088992561465	0.0025573155607687007	0.002398951306210937	0.0023880155886097723	0.0027753178434830063	0.0019472969215689217	0.0026832520759125155	0.002889037742752326	0.00222303223942169	0.002486735960754782	0.0025822390588700755	0.0023772555089456807	0.003037748059826753	0.002718990888101939
club-moss_0.001_1x_23	0.0008504806113801583	0.0	0.0	0.0008867915490972992	0.0009928494352318498	0.0005111768301247706	0.0004986554111333509	0.0	0.00046512883502660524	0.0014734042314528972	0.0003977590325638691	0.0006135681836771798	0.0	0.0	0.0	0.00045973332842344744	0.0004620356945289823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010819762068718182	0.010527654825979338	0.010457847711930552	0.011041050681067147	0.010767035558303863	0.010470947412696581	0.01049750224330093	0.010176338896394417	0.010327075602041299	0.010836528983439725	0.010227938632724363	0.010192927409304942	0.00934922850691443	0.009434793961581252	0.009304041132373228	0.00952537319196105	0.009558226519902199	0.009445702348384499	0.008884555994863198	0.008691613728526114	0.008789021286489757	0.008973501271014771	0.009157354101116852	0.00885026061831774	0.0012558860278731692	0.0013508168703558563	0.0014312546118061885	0.0022168364303616676	0.0010253079821242483	0.0015494846372546404	0.0016270813303226567	0.0015648814417615828	0.0017207701190127217	0.0021230354825920784	0.0015239225607895455	0.0019192660374911291	0.001703939663519145	0.0015834084993098922	0.0015903105548361752	0.0016041289163829667	0.001871896858560137	0.0016307481316676612	0.0015403056626970228	0.0014096338002890438	0.0013002191217282829	0.0017111757031722285	0.0017913274836224922	0.001419854122027055
club-moss_0.001_1x_25	0.0010076585103717028	0.0	0.0	0.0007248410830041248	0.0009220092094278199	0.00039943590579874787	0.0007061617975663232	0.0006715615275177253	0.0	0.0014690101705559248	0.0	0.0006628581599355197	0.0006242435769847775	0.0005194034942414761	0.0	0.0008320487527361698	0.0007597194449885035	0.0	0.0005338789569115188	0.0	0.0	0.0010974936626267089	0.0007004902345249886	0.0	0.011231339159317528	0.010833407363156534	0.010752688100741878	0.01159501702381249	0.010880232954441103	0.010611287090842525	0.010508167472728416	0.010299652109613557	0.010466821487886092	0.011020122788906964	0.010434414099872518	0.010299121270484086	0.009683989638445871	0.009705449966007024	0.00947148301447303	0.009819519969459695	0.009725226670629812	0.009674726981936886	0.009190838044467225	0.009051993028202754	0.009070485065832853	0.009596057845607272	0.009579619728827853	0.009035149575476003	0.001705097551877222	0.0013956703362797895	0.0015368202057694984	0.002580273360255193	0.001080399613172378	0.0015290923289310763	0.0017634110062251514	0.0018798499137185171	0.0018657108380824808	0.002439350996237756	0.0016262083361248468	0.002008516235530956	0.0020558852362402963	0.0019271958726820727	0.001997763844218267	0.002161926789933722	0.00213371821392793	0.0020017887389089674	0.0020658225392843643	0.0018425229236176486	0.0016910817834265859	0.0022503720375345528	0.0021270733635910494	0.0017292961020346337
club-moss_0.001_1x_HiSeq2500L150R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005225185271953782	0.0	0.0	0.0009530393990075281	0.00059065698453752	0.0011166596604361143	0.001251388517158104	0.0	0.0010894116640236332	0.0014215070572733378	0.001438888755670313	0.001328229966190005	0.0018661521324234173	0.0	0.002093819952237886	0.0018384837563993055	0.010502913330103085	0.010286789277724542	0.010460506813312249	0.010066634503622964	0.01051096428316975	0.010596240440125332	0.01110155922569624	0.011011299178183642	0.01137858362731724	0.010750135707381843	0.011033621694272635	0.011336613727509328	0.01079195497440563	0.011726906242835199	0.011867512580032838	0.011015251541724693	0.011667438883609962	0.011912138857654011	0.011448742981175245	0.011935961904301124	0.011779761828026146	0.011373726258563298	0.012402438917004599	0.012024597199617267	0.0007067535984187169	0.0007587478378670731	0.001084520178698712	0.0012569872326199294	0.0005247684379480426	0.0015020469737349587	0.0008934492271855358	0.0015789358770177673	0.001867226736114603	0.0015833193492567703	0.0013871538746548994	0.002238952198474267	0.002286537671663768	0.002797217749288968	0.0030661372908206814	0.0021503413728876358	0.0028238705417877	0.003337064040009615	0.003142659601800734	0.0032314772170496716	0.003501680434014974	0.0028769418228038668	0.0039074788565882255	0.003899818000584482
club-moss_0.001_1x_MiSeqv3L250R	0.0007819673106917527	0.0007181941529776948	0.0007882118263149197	0.0008134962052966043	0.0	0.0005929058550138837	0.0006460923656119627	0.0007750713970139576	0.0007616588681312251	0.0014198640916911918	0.0	0.000985056796540529	0.0008670170307361547	0.0009818395226225578	0.0010039639915485725	0.001070708440186931	0.0	0.0009400955788376725	0.0012070560039206951	0.0008032482399045945	0.0009854722371659534	0.0014994412373715012	0.0007658226590190845	0.0008335314729687461	0.010947366201193603	0.010815173225219408	0.010833358137425862	0.011129089336583143	0.011286125449562253	0.010734513113724836	0.011014115176004095	0.010750447789484098	0.011017601244977408	0.011079763454991223	0.010788086526380913	0.011080925778324433	0.010244736114575596	0.010589274046499682	0.010420978467834824	0.010431906181584405	0.010565208913365562	0.01058231309932412	0.010421212497511491	0.010117024486075526	0.01013138302330571	0.010145272404529367	0.010731039944822057	0.010221705453460395	0.0014436147617441866	0.0014029305558702489	0.0012421027853713811	0.002159372523767885	0.001069735700547204	0.0016946445633151037	0.00176230466073361	0.001899285635087782	0.0021258880915207344	0.002206243008279262	0.001794752617157919	0.0021306020492454806	0.002293806924737934	0.0023504041110526484	0.0025517719667195933	0.0023518353582461233	0.002565106922200263	0.002745741664849517	0.002710242044457434	0.002531627439383716	0.0024364995247510616	0.002779786273193967	0.002992613248853024	0.002557573836358985
club-moss_0.001_1x_novaseq_profR	0.0010187715462533643	0.00038977435216221623	0.0003942321132701184	0.0009495533462639067	0.0007280280823305836	0.0	0.0006869761884761089	0.0005566982765334639	0.00045665885039864303	0.0014265259998559434	0.0	0.0	0.0004303471944343699	0.0	0.0	0.0005286292933964043	0.0005675654181309459	0.0	0.0	0.0	0.0	0.0008450015573808055	0.0004149855025918691	0.0	0.011224499158142711	0.010834823225081312	0.010623502892832955	0.011365760065762438	0.01077810675641415	0.01065279347300031	0.010636951289392793	0.010217286759735295	0.010273445255643542	0.010911909751544869	0.010256761763069035	0.010296055213554478	0.009804351456176315	0.009553231144424435	0.009329362511178664	0.009766517825651135	0.00965831474242841	0.009566850327087043	0.009428702313467308	0.009030954632065784	0.009081620024432987	0.00953789537997848	0.0096820178004171	0.009057865527287365	0.0014842138819016106	0.0013828975337152783	0.001367912341513642	0.0024669598716568686	0.0012255419716185067	0.0015995930240184787	0.0015360129803066373	0.0016343672877560983	0.0017062756403619993	0.0023148333885342123	0.001545175542208884	0.001827919466145484	0.0019076873354729317	0.0016674458113908502	0.0017045831767884617	0.0018544939376908091	0.0018361787893457385	0.0017567227288942347	0.0017316137081807344	0.0016119366213098462	0.0013934341902017567	0.002004009086677001	0.0018837497076411602	0.00150146606678658
club-moss_0.001_2x_20	0.0	0.0006218829824803402	0.0009411715769009194	0.0007109211257710904	0.0008494745524620716	0.0009356935797496917	0.0	0.0007621364852812859	0.000758060418092314	0.0011770417850444934	0.0005922428013285293	0.001021015498677779	0.0	0.0005196254290119008	0.0006036588454289159	0.0	0.0006707147411012539	0.0006393883044511928	0.0	0.0	0.0	0.0005471830126885648	0.0010435957581001283	0.0	0.01124111163855675	0.010945383190876588	0.0110498642680343	0.011208977261848456	0.011028704622221509	0.011078081426365282	0.010755776549645834	0.010542255226795262	0.010944396961601056	0.010736724573757414	0.010695291712198607	0.010845397550082422	0.009836212829210494	0.010072807091542006	0.010084991312167543	0.00975494148326944	0.01026410186659022	0.010220605368212681	0.009396926983320801	0.009624266096448139	0.009572013891056242	0.009550274967740956	0.010178414895106076	0.00966754146221177	0.0014731724481222093	0.001721098498676557	0.0018388127775103066	0.0021994535480576276	0.0015787329662426068	0.0019329596102938044	0.0015769160479487774	0.0018235883679589117	0.0021401964551868292	0.002033845872048798	0.0019175794268313417	0.0023680559349869962	0.0018007982128625572	0.0020292156542871653	0.0022994496955880918	0.0016385013998075641	0.0023511539499607857	0.0023879294303030514	0.0019281225503023892	0.0018491094935948256	0.0018659102942170443	0.0017551926690291084	0.0025048436627328197	0.002101478399859248
club-moss_0.001_2x_23	0.0009381945584308255	0.0	0.0007899907403118826	0.0007991197502321374	0.0008252267909926949	0.0006862096519213149	0.0005581611397685036	0.0	0.0006721193784171917	0.0015367095978540705	0.0	0.0007834266124995635	0.0004543392296234582	0.0	0.00044771389592698893	0.0007173575044314922	0.000676692672711169	0.0	0.0	0.0	0.0	0.0008314446438593883	0.0009064103503214976	0.0	0.011170923478938301	0.01107998000959143	0.01087922025272273	0.011611468091971621	0.011221478674576965	0.01100280539793686	0.01097061209211803	0.010636604838275637	0.010794489718558654	0.01125516244127185	0.010749191614157966	0.010717740871976382	0.009998479445840439	0.010286857214547931	0.010121410935070319	0.010128548990723624	0.010504078141341746	0.010264824755783162	0.00964872268167035	0.009747721103975296	0.009656138728373394	0.010048343016567304	0.01016733280059395	0.009744049335170663	0.0015160220559444213	0.0015171844537514036	0.0015835991142314056	0.002306287323606296	0.0013640003061090834	0.0017434414286125477	0.0016204348396777252	0.0018354534436540676	0.0019562653817920776	0.0024311567411394877	0.0018391320261731895	0.002152389800478101	0.0018895828232567834	0.0019463675948218464	0.0020683565668655375	0.0020864870912038827	0.002103138150280454	0.0021236814915286343	0.0020202194652433627	0.0018206333935773405	0.0018739512850429727	0.0021168118868360665	0.0023884037776855252	0.0019794994120099175
club-moss_0.001_2x_25	0.0006918664843386965	0.0	0.0	0.0007954420781307976	0.0006271072873745515	0.00042949953774787397	0.0	0.000539221993445709	0.0	0.0012239644018011118	0.0	0.0006656109733678547	0.0004400787761987749	0.0	0.0	0.0004752004290677707	0.0005045422686053278	0.0	0.0	0.0	0.0	0.0007542655599647259	0.0006095034700198797	0.0	0.011262063468949559	0.010860102054691038	0.010775236731406453	0.011426727952356733	0.011198014239738518	0.010832729299769875	0.01083611368385292	0.010655107530991888	0.010816595739026604	0.011193663539834597	0.010581154658561872	0.01088868256842262	0.010102669293552637	0.01023124255119558	0.010117642856592437	0.010062595703929289	0.010201226598621063	0.010327010135887067	0.009702362479974915	0.009741047216143496	0.00979897624616911	0.009866114401073685	0.010085492775131797	0.009842553544335254	0.0015487537835698136	0.0014480135778424602	0.0013995486520682894	0.002364061636319913	0.0012126763343901384	0.001698384781739017	0.001612764894465303	0.0018361382035978098	0.00187558913733724	0.002262079816484568	0.0015602982635420637	0.002019573051895903	0.0019501060413488584	0.0019157361329494287	0.002083947589212856	0.0018600853681369186	0.0019976888445688104	0.002115795614135928	0.001985541795826973	0.0018466041679639504	0.001799881765202491	0.0020985016419200393	0.0022334733874044147	0.0019297646870815477
club-moss_0.001_2x_HiSeq2500L150R	0.0010846309087070415	0.0011883815139752166	0.001342634530391705	0.0	0.0011658751298359285	0.0013250498791947127	0.0010028974402537848	0.001744263676244941	0.0016342860660640724	0.0	0.0010816963688125866	0.001989148558565537	0.0015269863893608796	0.002004004262404758	0.002286812246153305	0.0	0.0023046827086717872	0.002382183200415971	0.002256842426107904	0.002188441187474491	0.002350997219830744	0.0	0.0032213743195383176	0.002365795506359861	0.011342217539863135	0.011415514529184467	0.011462704776094877	0.011096920988994731	0.011354110047253355	0.0117658333096516	0.01167259663705268	0.011972946676616116	0.012321802460627189	0.011401186126728108	0.011378308805698624	0.012171172638149189	0.011781787092048386	0.011971890162021168	0.0121422438516349	0.011667996631270751	0.012468325879299354	0.012424129125322678	0.01192164444936718	0.01235079441447913	0.01228044361281707	0.011612522972759692	0.013019778852393587	0.012283377775735039	0.001429694469970398	0.0017020434870845898	0.0023134936065690847	0.002344298178531489	0.0019592793722251565	0.002525300892526725	0.0021172527841166397	0.002652758100653276	0.0031518290741656026	0.0026473478791161596	0.00248734265593941	0.003317025057533631	0.003075094366160524	0.0034972114880120267	0.004047847996751309	0.0027722777095568114	0.0039932316626279645	0.004176274535345554	0.0037937562100027154	0.00399037758261952	0.004047033269196372	0.003766651275788648	0.004798358766597819	0.004219524643681661
